uid	text	label	metadata__wavenum	metadata__ideo5	metadata__row_number
5338	a democrat winning the white house	0	12	Conservative	5338
7016	a democratic candidate beating donald trump in 2020	1	12	Liberal	7016
6938	a different president	1	12	Moderate	6938
3621	a donald trump presidency	0	3	Liberal	3621
3676	a donald trump presidency and his choosing of cabinet its looking more and more like the swamp is getting filled with snakes no change in washington !	0	3	Moderate	3676
5362	a dumb ass democrat is elected president	0	12	Very conservative	5362
1360	a leader that doesnt understand our constitution our commitments to things like nato a president the puts a man like steve bannon in his cabinet to give him guidance on how to run our government the muslim hysteria the deportation the repeal of healthcare loading the government with half a dozen goldman sachs people i havent been able to get over the anger that someone that mocked disabilities wanted to f    nancy pelosi odell while his wife was home pregnant with her first child demeaned a gold star family and is now reducing our government to something resembling a dictatorship im mostly angry because he is mentally ill and there arent enough rational people to stop him	0	4	Liberal	1360
3824	a loose cannon in the white house	0	4	Moderate	3824
2791	a lot all have to do with mr donald trump why doesnt he just evaporate ?	0	8	Liberal	2791
1472	a lot how men treat women in the political realm like they arent good enough or cant hold office additionally how our president is xenophobic and is unable to think about how to actually make america great again through progress and movement toward equality	0	6	Liberal	1472
7122	a new election to get rid of donald trump	1	12	Liberal	7122
90	a new president	1	4	Very conservative	90
6123	a new president ! ! ! god bless america ! !	1	8	Not sure	6123
6356	a new president and more women in politics and congress	1	9	Conservative	6356
6511	a new president election	1	10	Very liberal	6511
6670	a new president hopefully	1	11	Very liberal	6670
6483	a new president in 2020	1	10	Very liberal	6483
5328	a new presidential election and the chance of donald trump being reelected	0	12	Liberal	5328
379	a non politician got into the white house for once	1	10	Conservative	379
2101	a president and cabinet who are corrupted and trying to destroy this country !	0	12	Very liberal	2101
3034	a president and party that will say and do anything to win an election	0	9	Moderate	3034
2117	a president that has no morals and encourages hate violence corruption and bigotry to name just a few lies and costing us millions to protect him and his family while he vacations 90 percent of the time	0	12	Very liberal	2117
4526	a president that is out of control is incompetent and is destroying credibility with all of our allies	0	8	Moderate	4526
804	a president that is trying to do what he promised and puts america first instead of letting america get run over and cheated in everything	1	4	Conservative	804
1955	a president that praises dictators and disses our allies congress members who allow themselves to be bullied and wont stand up against the president the maltreatment of immigrants on our southern borders ripping children away from their parents and putting them in cages bill barr	0	11	Very liberal	1955
797	a president that tells the people what is going on supports israel and religious freedom is working hard to insure we have enough of our paycheck left and that we all have a job	1	4	Very conservative	797
796	a president that wants to make my country great again grew up in beautiful pennsylvania and had a great life i want that for my children again	1	4	Very conservative	796
316	a president trying to do the best for the country	1	8	Conservative	316
168	a president who does what he says hes going to do	1	6	Conservative	168
346	a president who finally cares and does something for the country	1	9	Moderate	346
5584	a president who has appointed experienced people to positions who will follow the constitution as written and potential supreme court judge as well	1	4	Conservative	5584
5543	a president who is going to uphold our laws and protect us against terrorists	1	4	Very conservative	5543
522	a president who is helping everyone except the democrat politicians	1	12	Conservative	522
6255	a president who is working hard to make things happen like making trade with other countries more fair	1	8	Moderate	6255
209	a president who puts america first economy on the upswing 401k accounts thriving unemployment at record lows a president who speaks his mind and openly ridicules political correctness a president who calls bs on the news media	1	7	Conservative	209
130	a president who stands rather than crawls	1	6	Moderate	130
5904	a president who wont be used by politicians	1	6	Conservative	5904
342	a president whom keeps his promises	1	9	Conservative	342
6253	a president with balls	1	8	Very conservative	6253
6898	a presidential election maybe we will manage to get a president who isnt such an embarrassment	1	12	Moderate	6898
102	a real president	1	4	Conservative	102
5957	a real president who is a leader not a professional politician	1	7	Conservative	5957
4599	a recession collapse of america donald trump closing the mueller investigation and russia gets away with interfering with our election and continues to do so	0	9	Liberal	4599
52	a republican president whom is trying to help the country	1	4	Conservative	52
6152	a revolt against donald trump	1	8	Liberal	6152
792	a rising resistance to donald trump	1	4	Liberal	792
3804	a severe backlash from the radical left and various special interest groups that oppose donald trump and want to see america in decline under the pretext of us not being fair	0	4	Very conservative	3804
5193	a socialist in the white house	0	12	Conservative	5193
6476	a steady unwavering hand forward from our duly elected president	1	10	Very conservative	6476
5522	a strong administration that isnt buckling under hostile pressure the speed at which the president is working for us	1	4	Conservative	5522
5496	a strong democratic contingent in congress to provide checks and balances on president elect donald trump	1	3	Moderate	5496
559	a strong outspoken president	1	12	Very conservative	559
475	a strong president with a true vision for america	1	11	Conservative	475
6156	a take charge president whos actions will be what this country needs	1	8	Conservative	6156
303	ability to vote for offices from local dog catcher to u s president	1	8	Moderate	303
3069	abortion at delivery and murder afterward legalized in new york nancy pelosi and chuck schumer refusing to sit down and work with the president especially after he gave them daca and so on that they asked for they know we need the wall and dont care about americans only keeping donald trump from doing what they and all the other presidents before him should have done it was all political bs	0	10	Very conservative	3069
2453	about 75% of what donald trump says and does these days	0	4	Moderate	2453
305	about the only thing is donald trump standing up and actually doing something ! ! ! getting done what we need to get done ! ! !	1	8	Very conservative	305
3663	about the racism and not having a politician commanding this country and the intolerance of donald trump	0	3	Moderate	3663
5160	about who will be elected for president next year	0	12	Liberal	5160
3760	absolutely nothing except the corrupt democrats trying to stop donald trump with his agenda	0	4	Very conservative	3760
5662	acceptance of donald trump agenda	1	4	Conservative	5662
5743	accepting our president donald trump he isnt going to go anywhere !	1	4	Not sure	5743
1202	accomplishments of the president during his trip to england and europe	1	11	Conservative	1202
3325	actions and behavior of president donald trump	0	11	Liberal	3325
4024	actions of our president and congress	0	6	Moderate	4024
1671	actions of president	0	8	Liberal	1671
3866	again donald trump and the congress who want to kill barack obama care touch the social security i live on social security donald trump mouth is what worry me the most	0	4	Liberal	3866
5894	again donald trump if he gets some help from the senate and house	1	6	Conservative	5894
3791	again everything having to do with donald trump but especially his foreign policy and his desire to increase the nuclear arsenal	0	4	Very liberal	3791
2633	again havent watched news much but most thing the donald trump administration has done has made me fairly angry	0	6	Liberal	2633
4113	again simply put donald trump !	0	6	Liberal	4113
877	aggressive president	1	6	Conservative	877
2629	all bad decisions of donald trump	0	6	Moderate	2629
1387	all especially those of the new president	0	4	Liberal	1387
2390	all of donald trump ridiculousness	0	4	Very conservative	2390
1802	all of it but mostly donald trump getting elected	0	9	Very liberal	1802
2320	all of it our country needs back or president no matter what he is the president if you like him or not	0	4	Conservative	2320
4948	all of the attacks the left is making against the president	0	10	Conservative	4948
2838	all of the back and forth from the news media and the politicians and the president they all should try to help this country and not run it down	0	8	Very conservative	2838
2424	all of the bad words and protest against donald trump	0	4	Liberal	2424
1325	all of the good old boy obligations to donors and only catering to themselves both parties have in the past been basically the same really hate how the losers of this election are working at defeating president donald trump dont like the dirty way they try to destroy their opponents same with the republicans like john mccain	0	4	Conservative	1325
1829	all of the gun violence donald trump in general	0	9	Liberal	1829
1909	all of the lies and also how the democrats mainly nancy pelosi are treating the president	0	10	Very conservative	1909
3309	all of the misinformation the media promotes against donald trump	0	11	Very conservative	3309
2289	all of the news about the donald trump cabinet picks	0	3	Liberal	2289
732	all of the success that president donald trump is having	1	4	Conservative	732
741	all of the things our president is doing to make america great again	1	4	Conservative	741
2913	all of the things that donald trump is doing as president	0	8	Moderate	2913
3792	all of these stupid protesters that claim donald trump isnt their president they should lose their right to vote if you are going to deny who your president is and disgrace him and your country then you shouldnt be allowed to vote at all obviously weve lost our american way and those people are jokes to other countries	0	4	Conservative	3792
1459	all that are against the president of the u s a	0	6	Not sure	1459
1057	all that donald trump has done in only 2 years ! maga	1	10	Very conservative	1057
3143	all the bad coverage of our president	0	10	Moderate	3143
3860	all the bad press and hate toward the president	0	4	Very conservative	3860
5447	all the changes donald trump talks about making would make this country great	1	3	Not sure	5447
1308	all the comments that donald trump made and people elect him	0	3	Liberal	1308
3399	all the controversy about donald trump	0	12	Conservative	3399
3280	all the crap from a o c hillary clinton nancy pelosi all of the democrats all of the media most of the republicans rinos and anyone else who is trying to keep president donald trump from fulfilling his campaign promise to make america great again	0	11	Conservative	3280
5211	all the democratic candidates for president	0	12	Very conservative	5211
3023	all the democrats going against cabin are and the press being so mean and hateful to president donald trump and then the democrats say the republicans are being mean when its them and they are the ones attacking people in restaurants	0	9	Moderate	3023
535	all the democrats running for president	1	12	Very liberal	535
3105	all the fake news that the mainstream media puts out to make president donald trump look bad ! the liberal news media are so biased against him !	0	10	Conservative	3105
2142	all the fighting the crazy socialists and the people who have lost their damn minds over president donald trump	0	12	Very conservative	2142
2193	all the hate from both hillary clinton and donald trump supporters after the election	0	3	Conservative	2193
2508	all the hate news about our president	0	6	Conservative	2508
3074	all the issues related to the president	0	10	Very liberal	3074
2448	all the liberals crying about anything donald trump does	0	4	Conservative	2448
1988	all the lying in the white house	0	11	Moderate	1988
3393	all the nasty remarks about our president from people and politicians	0	12	Moderate	3393
2794	all the negative stories about the president doesnt get a fair shake from day one	0	8	Conservative	2794
2355	all the negativity surrounding or president	0	4	Conservative	2355
3027	all the nonsense about hating on donald trump	0	9	Conservative	3027
1471	all the people that are fighting and trying to interfere with what president donald trump is doing they are trying to destroy our country and the ones that are giving money to terrorists who are killing our people	0	6	Conservative	1471
2379	all the protesters around the u s a and other countries they all need to get a job and get over with the election even hillary clinton the sore loser is choosing to bad mouth president donald trump	0	4	Conservative	2379
1347	all the protests against donald trump when he has just started and barack obama went around the constitution repeatedly and no one said a word	0	4	Conservative	1347
3533	all the racist donald trump is putting in charge	0	3	Moderate	3533
2158	all the racist stuff happening after the election donald trump saying he wants an antisemite to be his advisor	0	3	Very liberal	2158
1352	all the riots over the new president and the stupid push to let men into womens bathrooms and women into mens bathroom based on oh they feel like a woman today or they feel like a man today	0	4	Moderate	1352
1284	all the sore losers having protests that donald trump won the election	0	3	Very conservative	1284
2399	all the stupid and violent protesters and democrats that are stonewalling the progress and agenda of president donald trump spoiled brats !	0	4	Conservative	2399
2485	all the stupidities of donald trump	0	4	Moderate	2485
4831	all the things donald trump will do	0	10	Conservative	4831
2905	all the things going on with donald trump	0	8	Moderate	2905
2604	all the violence mass shootings and donald trump and hillary clinton news	0	6	Not sure	2604
2333	all the violent protests against president donald trump and how they want him impeached good grief he has only been in office for a month ! ! !	0	4	Very conservative	2333
775	all the wonderful things president donald trump is doing	1	4	Very conservative	775
3290	all these negative stories on the president	0	11	Conservative	3290
2612	all these shooting and some tweets from the president	0	6	Conservative	2612
1875	all they care about both parties are big money interests and when will the republicans show some spine and stand up to this monster donald trump ?	0	10	Liberal	1875
2242	all this political sh   donald trump winning and all his sick supporters	0	3	Liberal	2242
1437	allowing donald trump to be president	0	6	Conservative	1437
1369	almost everything but most of all the president making a mockery out of the office and the country his degradation of the free press and the hard working reporters	0	4	Moderate	1369
2416	almost everything donald trump does	0	4	Moderate	2416
3085	almost everything donald trump says and does	0	10	Very liberal	3085
1541	almost everything especially the president	0	7	Liberal	1541
3751	almost everything our president is an idiot and an a hole at best maybe legitimately deranged at worst and our congressional leadership appears to be content to let that sh   slide in order to advance their own selfish agendas they all disgust me	0	4	Very liberal	3751
1491	almost everything the president does the weakness of the republicans in doing whatever the president says the divisiveness	0	6	Liberal	1491
5958	am hoping that the robert mueller gets donald trump impeached	1	7	Moderate	5958
6766	america has strong leadership in president donald trump	1	11	Very conservative	6766
6660	america is going to toss donald trump to the curb and elect a democratic president house and senate	1	11	Very liberal	6660
3996	america is headed down the road to destruction there are 44 million illegals in the u s that want to change the u s to be a part of mexico there are several million muslims in the u s that want to kill everyone that isnt of their faith the government with the exception of president donald trump isnt doing anything to protect americans instead they are protecting those that are trying to destroy the u s	0	6	Moderate	3996
4200	america is headed to world war iii with north korea if our president doesnt change his attitude	0	7	Not sure	4200
6010	america is on the right track as long as president donald trump is the engineer	1	7	Moderate	6010
6261	america is voting more progressive people into lower offices and will hopefully make a better decision about the next president	1	8	Liberal	6261
598	america overcoming the liberal press and saving this country from the impending ruin of socialism by electing donald trump	1	3	Conservative	598
3884	america under donald trump	0	4	Moderate	3884
4391	america will continue to ignore the donald trump foolishness	0	8	Liberal	4391
756	americans standing up to donald trump	1	4	Liberal	756
259	americans standing up to donald trump agenda	1	7	Moderate	259
5644	americans will continue to fight against donald trump injustice and lies	1	4	Liberal	5644
5819	an election to get a new president and throw out this congress of fools	1	6	Very liberal	5819
4863	an erratic president	0	10	Moderate	4863
1479	an idiot for a president and a congress that wont impeach him even though they know he is a fool our country is failing daily	0	6	Very liberal	1479
3982	an unstable person with access to the nuclear codes more division in the country along racial and religious lines created by donald trump	0	6	Moderate	3982
1463	anger ! ! that american electorate would elect a dumb ass like donald trump ! ! lie ! ! cheat ! ! just a damn criminal !	0	6	Moderate	1463
1814	angry obsessed people that refuse to spend their political capital helping the president to keep this country on the right track	0	9	Very conservative	1814
3514	angry sore losing democrats that violently protest and work to have president elect donald trump fail !	0	3	Conservative	3514
6184	another 4 year term for president donald trump	1	8	Very conservative	6184
5170	another 4 years of donald trump	0	12	Moderate	5170
6379	another 6 years of a donald trump presidency	1	9	Very conservative	6379
3367	another donald trump lie	0	12	Liberal	3367
5190	another four years of donald trump	0	12	Moderate	5190
4322	another year of donald trump	0	7	Liberal	4322
5149	anti democratic behavior of president donald trump	0	12	Liberal	5149
2817	antifa leftist democrats the u s news media the leftist entertainment media and community anti ice and open borders proponents the disrespect for u s laws and institutions the disrespect paid to our president u s political polarization and leftist radicalization technological communication community facebook twitterverse et al the ridiculous seemingly never ending robert mueller persecution of our potus !	0	8	Conservative	2817
4652	antisemitism the president replacing the attorney general with one who will kowtow and support the donald trump dictatorship thats currently in development the ability of the current administration to silence the constitution of the united states without resistance in order to please white conservative voters who cant see past their own fear mongering to vote for their best interests	0	9	Liberal	4652
4541	any actions taken by the president	0	8	Liberal	4541
3058	any and all things related to donald trump	0	9	Liberal	3058
3857	any and every action taken by the inept president	0	4	Very liberal	3857
3016	any and everything related to donald trump	0	9	Moderate	3016
2761	any thing donald trump	0	7	Moderate	2761
2980	any time i have to hear donald trump voice i have never despised someone so much that i have seen a purpose for cancer	0	9	Very liberal	2980
2799	any tweet by donald trump	0	8	Moderate	2799
2698	anything about donald trump	0	7	Moderate	2698
3345	anything about donald trump and his disregard for the law	0	12	Moderate	3345
2672	anything about politics and donald trump our government is a mess	0	7	Conservative	2672
3490	anything about president donald trump	0	12	Liberal	3490
2352	anything and everything about the miserable person sitting in our white house	0	4	Very liberal	2352
2718	anything and everything related to donald trump like his recent release of the nunes memo	0	7	Liberal	2718
3031	anything and everything related to donald trump or that comes from his mouth or his administration	0	9	Very liberal	3031
2742	anything and everything this president says or does he is an awful and disgusting man he doesnt care about the average person he only cares about himself and his family not our country hes awful ! !	0	7	Liberal	2742
2798	anything and everything to do with donald trump	0	8	Liberal	2798
3451	anything associated with donald trump	0	12	Liberal	3451
2897	anything coming from the white house and congress	0	8	Liberal	2897
2999	anything concerning donald trump	0	9	Liberal	2999
3093	anything concerning donald trump and the republican party	0	10	Very liberal	3093
2716	anything connected to donald trump	0	7	Liberal	2716
2397	anything donald trump does	0	4	Moderate	2397
3302	anything donald trump does all the tariffs he has imposed although for a probable good reason he doesnt seem to understand that we the people who put him there arent all billionaires we have to pay for what we eat wear drive and use for entertainment some of us me are seniors and on a fixed income and it is getting harder to maintain our way of life including paying for prescription drugs that we have to take	0	11	Very liberal	3302
2700	anything donald trump does and says	0	7	Liberal	2700
3477	anything donald trump does or says	0	12	Liberal	3477
2551	anything donald trump ever says	0	6	Conservative	2551
2889	anything donald trump has done	0	8	Moderate	2889
3310	anything donald trump has done like visit japan and refuse to eat japanese food	0	11	Liberal	3310
2382	anything donald trump has done so far	0	4	Liberal	2382
3389	anything donald trump has ever done	0	12	Very liberal	3389
2068	anything donald trump has to do say	0	12	Moderate	2068
2614	anything donald trump or donald trump supporters say to shift blame or distract from their crimes	0	6	Very liberal	2614
2830	anything donald trump or gop related	0	8	Very liberal	2830
2407	anything donald trump related	0	4	Very liberal	2407
2873	anything donald trump related brett kavanaugh confirmation	0	8	Very liberal	2873
2662	anything donald trump says	0	7	Moderate	2662
2835	anything donald trump says hes nuts and its clearly getting more and more out of hand police shootings racist people etc	0	8	Liberal	2835
3284	anything donald trump says just gets under my skin	0	11	Conservative	3284
2592	anything donald trump says or does	0	6	Liberal	2592
3067	anything donald trump says or does especially when he shut down the government	0	10	Liberal	3067
4807	anything donald trump says or does justice ginsburgs health that we have a sexual offender on the supreme court that children are still being ripped away from their families all of it	0	10	Liberal	4807
3223	anything donald trump tweets about	0	11	Liberal	3223
3219	anything donald trump tweets or says	0	11	Moderate	3219
2527	anything done said or tweeted by president donald trump	0	6	Moderate	2527
3150	anything having to do with donald trump	0	10	Very liberal	3150
2429	anything having to do with donald trump and his administration	0	4	Very liberal	2429
3433	anything having to do with donald trump and his lies	0	12	Liberal	3433
2607	anything having to do with donald trump gun violence in texas treatment of puerto rico after the hurricane	0	6	Moderate	2607
2916	anything regard the donald trump administration	0	8	Very liberal	2916
3439	anything regarding donald trump	0	12	Liberal	3439
3388	anything regarding donald trump !	0	12	Very liberal	3388
3340	anything related to donald donald trump	0	12	Very liberal	3340
3101	anything related to donald trump	0	10	Moderate	3101
3440	anything related to donald trump and almost all republican politicians and conservative leader the world over also anything negative about the environment	0	12	Very liberal	3440
2384	anything related to donald trump and his sinister associates steve bannon ! etc dreadful	0	4	Very liberal	2384
2497	anything related to donald trump and the continued corruption around the world	0	6	Moderate	2497
2241	anything related to donald trump mike pence and their plans	0	3	Very liberal	2241
5284	anything related to donald trump psychotic a hole could nuke iran at any minute	0	12	Very liberal	5284
2611	anything statement coming from the donald trump and the white house	0	6	Very liberal	2611
3369	anything that donald trump does	0	12	Very liberal	3369
3432	anything that donald trump or republicans have said or done	0	12	Very liberal	3432
2571	anything that donald trump or the republicans support	0	6	Moderate	2571
4231	anything that donald trump says or tweets	0	7	Very liberal	4231
456	anything that goes against donald trump	1	11	Liberal	456
3024	anything that happens that involves the currently elected potus donald trump	0	9	Liberal	3024
3344	anything that has anything to do with donald trump	0	12	Liberal	3344
3084	anything that has to do with idiot donald trump	0	10	Conservative	3084
3489	anything the con donald trump does	0	12	Moderate	3489
5332	anything the current president does he is unstable and unfit for office im really afraid hes going to get us in a war with iran	0	12	Liberal	5332
3273	anything the democrats say about donald trump	0	11	Very conservative	3273
2934	anything to do with donald trump	0	8	Liberal	2934
3076	anything to do with donald trump and his antics	0	10	Liberal	3076
3245	anything where democrats are bashing the president	0	11	Conservative	3245
895	anything with president donald trump	1	7	Conservative	895
2613	anytime the president tweets	0	6	Liberal	2613
1967	anywhere donald trump and his corrupt mind take us	0	11	Liberal	1967
4490	are lying president	0	8	Moderate	4490
3724	as a senior citizen im most worried about medicare drug insurance coverage and the cost of drugs social security and also the fear of this president and congress causing much disturbance around the world and getting us into another war or even nuclear war	0	4	Moderate	3724
6186	as donald trump as our president i never worry about anything	1	8	Very conservative	6186
6328	as long as we have president donald trump working as hard as he is we will be ok	1	9	Conservative	6328
6824	as soon as donald trump is out of the white house and things start getting better	1	11	Conservative	6824
5838	at least hillary clinton will be locked up liberals will keep exposing their insanity and continue to lose elections john mccain will either leave office or die many other rino swamp creatures wont seek reelection one or two more liberal supreme court justices will retire or die illegal immigration will continue to decline and the wall will be built ban on terrorists entering the country will be in full effect attempts to weaken the 2nd amendment will be shut down maybe donald trump will declare antifa and islam terrorist entities have open season on them	1	6	Conservative	5838
5566	at least there is a broad outlook on job openings in america for the american people donald trump is has put a ban on immigration and is continuing to try and do things that will decrease the amount of illegal aliens in our country that take our resources and jobs i feel that this will be very beneficial to our economy !	1	4	Moderate	5566
6624	at least we have president donald trump pushing all the parts of his agenda	1	10	Very conservative	6624
5963	at the present my hope is in god until we all get on the same page we are stuck in a rut mr donald trump has to use some wisdom in making decisions and work with both parties	1	7	Moderate	5963
1434	attacking our president	0	6	Conservative	1434
4008	attacks on democratic constitutional norms by donald trump his affiliates and complicity of congressional republicans	0	6	Very liberal	4008
3066	babies that can be killed after they are born yet felons arent given the death penalty maxine waters continues to run her mouth and the donald trump witch hunt goes on in new york	0	10	Very conservative	3066
2037	bad leadership terrible rude president	0	11	Liberal	2037
606	barack obama and hillary clinton speeches following donald trump victory	1	3	Moderate	606
2262	barack obama discrediting donald trump	0	3	Very conservative	2262
816	barack obama mandating public schools to allow crossdressers to use the opposite sex bathrooms was repealed by president donald trump i thank god for that	1	4	Very conservative	816
613	barack obama professionalism to meeting with donald trump	1	3	Liberal	613
2215	barack obama speech oversea speaking about division of donald trump barack obama has been dividing america for 8 years	0	3	Very conservative	2215
3704	barack obama started a negative racial division in the u s which i believe he will become another al sharpton behind the scenes instigating violent riots there is too much jealousy against donald trump and many democrats will hinder progress donald trump has to get extremely tough on violent protesters giving police full backup to warn then shoot barack obama allowed violent riots and this will continue unless deadly force is used on them	0	4	Moderate	3704
814	barring of donald trump travel ban executive order	1	4	Liberal	814
2563	basically anything i see about donald trump	0	6	Moderate	2563
255	basically everything donald trump has put on the table	1	7	Very conservative	255
3308	basically everything involving donald trump	0	11	Very liberal	3308
1675	basically everything we have a white supremacist and rapist in the white house theyve rigged the system so they stay there even if they get fewer votes	0	8	Very liberal	1675
5376	because donald trump is a businessman hopeful he can help with all this debt we have	1	3	Moderate	5376
5686	because for the first time we are in the streets hopefully donald trump wont go through with the deportation of illegals who have been here and contributed with their work	1	4	Liberal	5686
1894	because the president dont care about no one	0	10	Very liberal	1894
2054	behavior of president donald trump	0	12	Liberal	2054
5406	believe me now that donald trump is done with campaign bull he will be the best at getting something done for the country he doesnt need money you got to love it !	1	3	Conservative	5406
1255	bernie sanders beats donald trump in like more than 14 polls except it isnt in mainstream news	1	12	Very liberal	1255
5498	bernie sanders plans to win back the senate keith ellison campaign to lead the dnc the aclu promise to defend us against donald trump unconstitutional policies the mobilization of the public against donald trump fascism	1	3	Liberal	5498
7021	bernie sanders running for president and defeating donald trump	1	12	Very liberal	7021
5494	bernie sanders said we will work with donald trump on his policies but oppose his bigotry sexism and xenophobia just as hard as we can	1	3	Very liberal	5494
2248	besides donald trump being our new president what else is new things dont look good done the line and im very worried of things to come	0	3	Moderate	2248
5659	better financial status for my family im also proud that we have a president who backs our military	1	4	Very conservative	5659
6212	better president	1	8	Moderate	6212
5410	better since donald trump is president and lying cheating hillary clinton can just go away	1	3	Conservative	5410
3570	bias against donald trump	0	3	Conservative	3570
3622	big mouth donald trump will get us into a war and ruin the economy	0	3	Conservative	3622
6259	bipartisan praise for john mccain and what he stood for gives pause to the everyday chaos of the donald trump administration hoping that carries through the to midterm and future elections	1	8	Liberal	6259
2939	bitter democrats hating donald trump for everything	0	8	Moderate	2939
867	boy sends donald trump $ 2 00	1	6	Liberal	867
3495	brazil fires brexit donald trump and republicans on guns news organizations ignoring bernie sanders	0	12	Liberal	3495
2891	brett kavanaugh anything donald trump does	0	8	Very liberal	2891
2932	brett kavanaugh hearings donald trump incompetence	0	8	Not sure	2932
4535	brett kavanaugh making the supreme court and threatening womens reproductive rights and moving to pardon donald trump	0	8	Very liberal	4535
4720	bullying by the president	0	9	Liberal	4720
6995	by impeaching donald trump or voting him out of office	1	12	Very liberal	6995
683	california politicians vow to stand up against donald trump racist policies	1	3	Moderate	683
299	calling out the mainstream media for 90% negative coverage on president donald trump	1	8	Very conservative	299
5978	can we have a real president please ?	1	7	Not sure	5978
6685	cause donald trump is president	1	11	Very conservative	6685
2955	certain people cant see the lying that the flim flam man in the white house is doing	0	9	Moderate	2955
6743	change in president	1	11	Moderate	6743
5624	changes by donald trump	1	4	Very conservative	5624
3847	chaos in the world our new president doesnt seem to understand the importance of nato and free trade	0	4	Liberal	3847
6452	checks and balances coming donald trump way	1	9	Moderate	6452
1742	children being separated from their parents racist rants from the president russia controlling his movements	0	8	Very liberal	1742
3121	chuck schumer and nancy pelosi not willing to work with our president and robert mueller continuous mueller investigation on our president !	0	10	Very conservative	3121
5455	chuck schumer will use donald trump proposals to curb the republican right wing agenda and maybe accomplish something !	1	3	Liberal	5455
2627	church killings in texas more evidence of russian interference in the 2016 u s election more evidence the donald trump campaign colluded with russia	0	6	Very liberal	2627
2601	church shooting new york van attack las vegas shooting republican tax plan dismantling of obamacare donald trump twitter feuds with war widows	0	6	Moderate	2601
5869	cities and companies moving forward on preventing further climate change despite the president	1	6	Moderate	5869
810	citizens and activists standing up against donald trump	1	4	Liberal	810
356	citizens voted in high numbers and that this the democrats taking back the house of representatives to check this out of control criminal president	1	9	Moderate	356
6107	civil disobedience in the face of donald trump and his fascist policies	1	7	Liberal	6107
5217	climate change president donald trump	0	12	Liberal	5217
