docnames,old.docnames,instance_id,speaker,party,date,agenda,text,EU,CAP
2502772,text1465242.1,2630520,Mark Francois,Con,17/06/2013,Topical Questions [Oral Answers to Questions > Defence],Gentleman has raised this issue with me in the House before.,0,16
2519561,text1467346.1,2648230,Peter Hain,Lab,24/06/2013,Undercover Policing,Will she assure the House that she will look personally at every undercover operation and check that nothing so dreadful is going on today?,0,12
2550852,text1471622.1,2681557,Charlie Elphicke,Con,04/07/2013,Corporate Structures and Financial Crime,I thank the hon.,0,12
2552507,text1471748.1,2683245,James Wharton,Con,05/07/2013,European Union (Referendum) Bill,The hon.,0,99
2557854,text1472776.1,2689085,Andrew Lansley,Con,09/07/2013,Business of the House,I meant 2014.,0,99
2570316,text1474428.1,2702418,Frank Doran,Lab,11/07/2013,Piper Alpha Disaster,"Friend the Member for Stirling (Mrs McGuire) reminded me of Gavin Cleland, whose son tragically died in the incident.",0,12
2609834,text1479699.1,2744112,Iain Duncan Smith,Con,05/09/2013,Universal Credit,The hon.,0,99
2694895,text1490098.1,2833386,Jeremy Wright,Con,30/10/2013,Probation Service,"The question, surely, for Labour Members, not least those on the Front Bench, is this: if they do not like our way of doing those things, which they agree are worth while, what is their way?",0,12
2713995,text1492805.1,2853256,Tom Greatrex,Lab,06/11/2013,Energy Price Freeze,My hon.,0,8
2864393,text1512415.1,3012180,Brandon Lewis,Con,24/01/2014,Leasehold Reform (Amendment) Bill,My hon.,0,14
2972517,text1526418.1,3127738,Mark Hoban,Con,19/03/2014,Budget Resolutions and Economic Situation,My hon.,0,1
3025565,text1532908.1,3184430,Norman Baker,LibDem,10/04/2014,Domestic Violence (Police Response),"Indeed, the hon.",0,12
3031752,text1533859.1,3191183,Robin Walker,Con,29/04/2014,Schools Funding,"Members on both sides of the House, and I am only one of many voices who have been calling for progress.",0,6
3164993,text1550411.1,3332640,David Cameron,Con,21/07/2014,Ukraine (Flight MH17) and Gaza,My hon.,0,19
3191396,text1553595.1,3360204,Roger Williams,LibDem,08/09/2014,Food Fraud,"No, my hon.",0,4
3210569,text1555583.1,3380809,Edward Leigh,Con,26/09/2014,Iraq: Coalition Against ISIL,"No journalist is embedded in IS, which would be a suicidal thing to do.",0,19
3268430,text1563248.1,3442901,Barry Sheerman,Lab,04/11/2014,Dangerous Driving Offences (Sentencing),"I, too, congratulate the hon.",0,12
3282430,text1565221.1,3457769,Chris Grayling,Con,11/11/2014,Prison Communications,"Member for Tooting (Sadiq Khan) was absolutely right to point out that many of those may well not have been convicted of any crime, but have been simply awaiting trial.",0,12
3351650,text1574204.1,3531591,Michael Fallon,Con,15/12/2014,UK Armed Forces (Iraq),The hon.,0,16
text1149286.1,NA,80,Dan Rogerson,LibDem,12/01/2009,Business Rate Supplements Bill,Members across London.,0,99
text1168049.1,NA,7936,Hywel Williams,PlaidCymru,01/04/2009,Registration of Births and Deaths (Welsh Language),This Bill has wide support in Wales and I am grateful today for the support of Welsh Members on both sides of the House and Members from across the border-,0,21
text1168361.1,NA,7978,Greg Mulholland,LibDem,01/04/2009,National Dementia Strategy,"Again, I echo the comments of other hon.",0,3
text1169484.1,NA,8430,Gordon Prentice,Lab,21/04/2009,Transport (North-West),"The Member for Ribble Valley (Mr. Evans) talked about the cost of walk-on fares from London to Manchester, Newcastle or wherever.",0,10
text1170256.1,NA,8942,Stephen O'Brien,Con,24/04/2009,Palliative Care Bill,I echo the tributes that other hon.,0,3
text1170818.1,NA,9070,Tobias Ellwood,Con,28/04/2009,Points of Order,May I echo the request from my hon.,0,99
text1175502.1,NA,10483,Tim Loughton,Con,15/05/2009,Special Educational Needs and Disability (Support) Bill,"May I first, in this era of heightened precaution, declare my entry in the Register of Members' Interests and my interest as a vice-chairman of the all-party parliamentary group on autism, a subject which features large in the debate?",0,6
text1179487.1,NA,12012,Cheryl Gillan,Con,10/06/2009,Low Carbon Industries [Oral Answers to Questions > Wales],We will miss his common sense and dedication to Wales.,0,7
text1180989.1,NA,12597,William Hague,Con,16/06/2009,European Affairs,"The Europe Minister, too, is to sit in the House of Lords, and will be beyond the scrutiny of most elected representatives.",1,19
text1181113.1,NA,12835,Robert Walter,Con,16/06/2009,European Affairs,"The Labour party, unfortunately-or fortunately-has been completely routed in the south-west, and has no Member of the European Parliament there.",1,19
text1185968.1,NA,14770,Chris Bryant,Lab,02/07/2009,European Commission Annual Policy Strategy,Members mentioned what happened in Germany this week.,1,19
text1188680.1,NA,15574,Phil Woolas,Lab,14/07/2009,"Borders, Citizenship and Immigration Bill [Lords]",Members would presumably think it was the case for the Republic of Ireland.,1,19
text1190580.1,NA,16310,Bill Cash,Con,21/07/2009,Parliamentary Standards Bill,"There has been a great deal of comment, in the House of Lords and elsewhere, about a case in 2003 known as A. v. the United Kingdom.",0,20
text1191901.1,NA,16935,Kevin Brennan,Lab,14/10/2009,"Higher Education [Written Answers to Questions > Business, Innovation and Skills]",Member for South Holland and The Deepings (Mr. Hayes) referred to the background of my right hon.,0,6
text1203099.1,NA,21718,Mike O'Brien,Lab,02/12/2009,Whittington Hospital,"Member for Hornsey and Wood Green (Lynne Featherstone) expressed concern that the NHS across London faces cuts, as she put it.",0,3
text1203139.1,NA,21739,Kevin Brennan,Lab,02/12/2009,Citizens Advice Bureaux,Member for Meirionnydd Nant Conwy (Mr. Llwyd) was one of three Back-Bench Members from Wales who contributed to the debate.,0,21
text1206207.1,NA,23140,Jim Sheridan,Lab,14/12/2009,Regional Select Committee (London),May I just point out that I am not the Member for Scotland?,0,21
text1213532.1,NA,25640,Greg Mulholland,LibDem,27/01/2010,Dementia Services,"I also echo the tributes to the all-party group, of which I am a member, and especially to the leadership of the hon.",0,3
text1226590.1,NA,31049,Ian Paisley,DUP,24/03/2010,Engagements [Oral Answers to Questions > Oral Answers to Questions > Prime Minister > Prime Minister],I have been in too many houses like that in the north of Ireland not to know how deep the cuts are.,0,21
text1226649.1,NA,31105,John Redwood,Con,24/03/2010,Budget Resolutions and Economic Situation,Member for Middlesbrough would take us in the direction that Greece followed.,0,1
text1230228.1,NA,32602,Ed Miliband,Lab,27/05/2010,"Energy and Environment, Food and Rural Affairs","He has had a distinguished career as an economist, as a Member of the European Parliament and as an eloquent Member of this House since his election in 2005.",1,19
text1230332.1,NA,32689,Chris Heaton-Harris,Con,27/05/2010,"Energy and Environment, Food and Rural Affairs",Members here have asked me what the notable differences are between being a Member of the European Parliament and being an MP.,1,19
text1231379.1,NA,33447,Mark Field,Con,07/06/2010,Constitution and Home Affairs,"I shall unashamedly concentrate my observations on economic matters, in my capacity as the Member for the City of London, and on constitutional reform, which I broadly welcome as a long-time and robust supporter of House of Lords elections.",0,1
text1234914.1,NA,34744,David Cameron,Con,21/06/2010,European Council,"As this House is aware, however, with the situation in Greece and the need for a support package from the other eurozone members, there is no doubt that the eurozone as a whole faces real challenges.",1,19
text1236097.1,NA,35359,Tim Farron,LibDem,23/06/2010,Cumbrian Shootings,To echo the comments of most of the hon.,0,12
text1255067.1,NA,41158,Chris Bryant,Lab,20/10/2010,Parliamentary Voting System and Constituencies Bill,One subject that I want to mention is precisely what the job of a Member of Parliament is in the modern era.,0,20
text1258079.1,NA,42041,Duncan Hames,LibDem,28/10/2010,Business of the House,I am grateful to the Leader of the House for advance notice of Monday's ministerial statement on the European Council.,1,19
text1264530.1,NA,44894,Alan Meale,Lab,16/11/2010,Cyprus,"Friend the Member for Blackburn (Mr Straw)-a colleague from this side of the House, in this place-which was an attempt not only to influence the talks in New York, but to set in motion a political dialogue in Europe that would call for partition.",0,19
text1271808.1,NA,47635,Chris Heaton-Harris,Con,07/12/2010,European Union Bill,"As a member of the European Parliament, I was there at the start of the EPP debate in Brussels, and it evolved a little like this.",1,19
text1273594.1,NA,48234,Guto Bebb,Con,09/12/2010,Higher Education Fees,Opposition Members have been heckling me about Wales.,0,6
text1277327.1,NA,49929,Bernard Jenkin,Con,11/01/2011,European Union Bill,"There might be no doubt in our minds that Parliament is sovereign and that the functions and powers to which he has just referred are simply delegated to the European Union by this sovereign House, but because such misunderstandings exist, it is time for the House to make a clear declaration that sovereignty and ultimate legal authority still rest with the House of Commons.",1,19
text1278478.1,NA,50586,Charlie Elphicke,Con,13/01/2011,Business of the House,May I echo the call of the shadow Leader of the House for a debate on bank bonuses?,0,15
text1281625.1,NA,52051,Charlie Elphicke,Con,24/01/2011,European Union Bill,"Friend is right about the House of Lords: whether we go further into or come out of Europe is a matter that should start in the House of Commons, because this is the House of the people.",1,19
text1283576.1,NA,53448,Cathy Jamieson,Lab,27/01/2011,Scotland Bill,"Friend the Member for Glasgow East has observed, those of us who were fortunate enough to be part of that day will forever feel that we were part of the history of Scotland.",0,20
text1286745.1,NA,54834,Simon Hughes,LibDem,07/02/2011,Registration of Members' Financial Interests,"I am a member of the all-party parliamentary group on Ukraine, which is next to Russia.",0,20
text1288450.1,NA,55369,Robert Walter,Con,10/02/2011,Voting by Prisoners,"Friend the Member for Christchurch (Mr Chope) is one of the members of that sub-committee who successfully rejected a slate of three candidates put forward by Portugal four months ago, and Portugal had to go back to find some candidates who were acceptable to us.",1,19
text1289968.1,NA,55982,Sheryll Murray,Con,15/02/2011,Fuel Prices,I echo what all hon.,0,8
text1291325.1,NA,56385,Martin Horwood,LibDem,17/02/2011,Rail Investment,I echo the comments of my hon.,0,10
text1293390.1,NA,57095,Andrew Slaughter,Lab,04/03/2011,Estates of Deceased Persons (Forfeiture Rule and Law of Succession) Bill,I echo my hon.,0,1
text1309640.1,NA,64209,CHAIR,NA,13/05/2011,Regulatory Authorities (Level of Charges) Bill,"Member for South Holland and The Deepings (Mr Hayes), but I know that the hon.",0,20
text1328682.1,NA,70110,John Martin McDonnell,Lab,20/07/2011,Public Confidence in the Media and Police,"Some Members will remember when, back in 2006, the Daily Star tried to produce a racist front page, but the workers, backed by their union and Members on both sides of the House, refused to publish it because of the damage it would do to community relations.",0,17
text1338349.1,NA,73327,Crispin Blunt,Con,21/10/2011,"Domestic Violence, Crime and Victims (Amendment) Bill",I echo the comments of my hon.,0,12
text1341071.1,NA,74918,David Lidington,Con,27/10/2011,Council of Europe (UK Chairmanship),"As the House knows, EU accession to the COE was one element of the treaty of Lisbon, which was ratified by all 27 member states in 2009.",1,19
text1375830.1,NA,89966,Simon Hughes,LibDem,14/03/2012,Water Industry (Financial Assistance) Bill,"Member for Cities of London and Westminster (Mark Field) in the Chamber, and many of us have a constituency interest-big and small-in where the sites should be.",0,21
text1376605.1,NA,90237,Fiona O'Donnell,Lab,15/03/2012,Common Fisheries Policy,"Members from both sides of the House agree that Europe must get to grips with the problem, because throwing perfectly good fish back into the sea is utterly unacceptable.",1,4
text1376881.1,NA,90323,Jacob Rees-Mogg,Con,19/03/2012,Protection of Freedoms Bill,"It may be frail, its roof may shake; the wind may blow through it; the storm may enter, the rain may enter-but the King of England cannot enter”.",0,2
text1386397.1,NA,93420,Bill Cash,Con,14/05/2012,Business and the Economy,Let us consider what is going on in the rest of Europe.,1,1
text1396582.1,NA,97024,Stewart Jackson,Con,02/07/2012,Finance Bill,Friend the Member for Cities of London and Westminster (Mark Field) was cursorily rejected by the hon.,0,1
text1397183.1,NA,97087,Susan Elan Jones,Lab,03/07/2012,Elections (National Assembly for Wales),Friend is a distinguished Member of this House and a former Secretary of State for Wales.,0,21
text1397666.2,NA,97794,Emma Reynolds,Lab,04/07/2012,UK-Turkey Relations,To echo the comments of the hon.,0,19
text1399342.1,NA,98372,Anne McGuire,Lab,09/07/2012,House of Lords Reform Bill,I do not think that the current House of Lords accurately reflects the diversity of the United Kingdom.,0,20
text1399508.1,NA,98425,David Cameron,Con,10/07/2012,Topical Questions [Oral Answers to Questions > Deputy Prime Minister],"On the issue of the interesting demographic profile of the House of Lords, it is not just one of age; it is also very striking that close to half the people in the House of Lords come from London and the south-east.",0,20
text1400323.1,NA,98818,Greg Knight,Con,11/07/2012,Sittings of the House,Many Members told the Procedure Committee they feel that earlier sittings would compromise the ability of Members from constituencies distant from London to make the journey to Westminster on Mondays-the point well made by the hon.,0,20
text1404927.1,NA,100972,Stewart Jackson,Con,10/09/2012,European Union (Approval of Treaty Amendment Decision) Bill [Lords],"It is time that the House of Commons understood what the European Union is doing to the lives of those people, because we are complicit in that crime in allowing it to go on.",1,19
text1409067.1,NA,102478,Matt Hancock,Con,16/10/2012,Enterprise and Regulatory Reform Bill,I echo what was said by my hon.,0,99
text1410770.1,NA,103214,Jeremy Hunt,Con,22/10/2012,Hillsborough,"Friend the Member for City of Chester (Stephen Mosley), who talked about the appalling failing of West Midlands police and the agony that the family of Kevin Williams went through.",0,12
text1413293.1,NA,104121,George Mudie,Lab,30/10/2012,Leeds Children's Heart Surgery Unit,"In Yorkshire and Humberside, that figure is 6.2%, or 326,000.",0,3
text1415423.1,NA,105143,David Lidington,Con,06/11/2012,European Union (Croatian Accession and Irish Protocol) Bill,Membership of Schengen requires Croatia and any other member of Schengen to go further.,1,19
text1418845.1,NA,106477,Jim Shannon,DUP,20/11/2012,Civil Aviation Bill,"Referring to a report by Birmingham MEP Philip Bradbourn, the noble Lord said:“It was drawn up in April this year and, I believe, was passed by the European Parliament in May.",1,10
text1419421.1,NA,107253,Gordon Banks,Lab,21/11/2012,UK Constituent Parts (EU),"As has been mentioned, we recently discussed the accession of Croatia to the EU in the House.",1,19
text1423689.2,NA,109698,Gemma Doyle,Lab,05/12/2012,Unemployment in Scotland,"He said that his members had more in common with the London dockers, the Durham miners and the Sheffield engineers than they had ever had with the “barons and landlord traitors”, as he called them, of Scotland.",0,1
text1435228.1,NA,114649,Angela Eagle,Lab,24/01/2013,Business of the House,The Leader of the House has announced a debate next week on Europe.,1,20
text1435261.1,NA,114668,Christopher Pincher,Con,24/01/2013,Business of the House,May I echo the call from my hon.,0,20
text1436847.1,NA,115199,Gregory Campbell,DUP,29/01/2013,Political Party Funding,"Members will see this, too-we get correspondence from Sinn Fein Members saying that they will arrive here on sporadic visits to inform people and Members about the situation in Northern Ireland.",0,20
text1443057.1,NA,118701,Nicola Blackwood,Con,14/02/2013,Sexual Violence in Conflict,"Friend the Member for Thurrock (Jackie Doyle-Price) for sharing her experiences in Kosovo, and the hon.",0,12
text1444006.1,NA,118894,Christopher Chope,Con,26/02/2013,City of London (Various Powers) Bill [Lords],"Friend the Member for Cities of London and Westminster, with all the resources of the City of London behind him, at the behest of the Department got leading counsel's opinion on the matter.",0,99
text1444032.1,NA,118917,Jim Fitzpatrick,Lab,26/02/2013,City of London (Various Powers) Bill [Lords],Member for Cities of London and Westminster (Mark Field) for missing his speech.,0,99
text1445139.1,NA,119374,Hugo Swire,Con,28/02/2013,Death Penalty (India),Members across the House need no reminding of the respected and thriving Sikh community in the United Kingdom that has such a long and proud history.,0,19
text1454658.1,NA,123003,Nigel Mills,Con,17/04/2013,Finance (No. 2) Bill,Friend the Member for Cities of London and Westminster (Mark Field).,0,99
text1464508.1,NA,127533,Dominic Raab,Con,12/06/2013,"EU Police, Justice and Home Affairs","We are not a full-blown member of Frontex, but its executive director has said“we do not see any difference between our UK colleagues and the others”.",1,12
text1474427.1,NA,132093,Michael Moore,LibDem,11/07/2013,Piper Alpha Disaster,"Member for Waveney, highlighted the fact that this is not just about Scotland; it is a broader tragedy.",0,15
text1482666.1,NA,135172,Daniel Kawczynski,Con,12/09/2013,UK Trade & Investment,I echo hon.,0,18
text1488594.1,NA,137872,Matt Hancock,Con,24/10/2013,Share Capital (Businesses),I echo my hon.,0,99
text1521726.1,NA,152179,William Hague,Con,04/03/2014,Ukraine [Oral Answers to Questions > Foreign and Commonwealth Office],I think that doing that may be one of the longer-term consequences of what Russia has done in Crimea.,0,19
text1521990.1,NA,152421,Jeremy Corbyn,Lab,04/03/2014,Private Rented Sector,"Like my Friend the Member for Holborn and St Pancras, who has the neighbouring constituency, I represent inner London where the housing crisis is acute beyond belief.",0,14
text1522406.1,NA,152792,Matt Hancock,Con,05/03/2014,Vocational Qualifications,"Friend the Member for South Holland and The Deepings (Mr Hayes), who oversaw the start of this expansion.",0,5
text1523132.1,NA,153123,Albert Owen,Lab,06/03/2014,Welsh Affairs,"None of the Plaid Cymru Members came, but it was attended by apprentices and graduates from Wales, who have jobs on the Wylfa site.",0,21
text1527722.1,NA,155813,Margot James,Con,25/03/2014,amendment of the law,"That is in sharp contrast to the rest of Europe, where unemployment averages 10.9%.",1,1
text1528435.1,NA,156280,Tim Loughton,Con,26/03/2014,Stillbirths and Infant Mortality,I echo the accolades that my hon.,0,3
text1535817.1,NA,160833,Angus MacNeil,SNP,07/05/2014,Cross-border Trade and Employment [Oral Answers to Questions > Scotland],"According to the House of Commons Library, 200,000 UK jobs depend on trade with the Republic of Ireland-double that of Canada and Norway.",1,18
text1535918.1,NA,160868,Andrew Percy,Con,07/05/2014,Water Bill,I echo the words of my hon.,0,21
text1537258.1,NA,161424,John Spellar,Lab,13/05/2014,Ukraine,"Before turning to the Foreign Secretary's remarks on Ukraine, may I first briefly address the recent horrific events in Nigeria?",0,19
text1540216.1,NA,163179,Jim Sheridan,Lab,12/06/2014,The Economy and Living Standards,To echo the comments of my hon.,0,1
text1541177.1,NA,163447,David Cameron,Con,18/06/2014,Engagements [Oral Answers to Questions > Prime Minister],Opposition Members might be yawning; people are not yawning in Wales because they are stuck on waiting lists desperate for treatment.,0,21
text1543325.1,NA,164407,Caroline Lucas,GPEW,25/06/2014,Private Rented Sector,A recent House of Commons Library note shows a long-term steep decline in house building in England in the past 35 years.,0,14
text1544227.1,NA,164733,David Cameron,Con,30/06/2014,European Council,"However, I think there are many in Europe who understand that we need a totally different approach for the eurozone members than for the non-eurozone members.",1,19
