date,debate_subject,speech_id,speaker_id,speaker_name,speaker_party,speaker_role,chair,text,words
2020-02-03,Wuhan Coronavirus,c50.3,uk.org.publicwhip/person/25820,Munira Wilson,Liberal Democrat,"Liberal Democrat Spokesperson (Transport), Liberal Democrat Spokesperson (Health and Social Care)",0,"The Secretary of State will recall that during his last statement to the House on the Wuhan coronavirus I raised the importance of vaccination.
At the time, he said that“it is unlikely that a vaccine is going to be available—there is not one now—so that is not the route we should be looking at”—[Official Report, 23 January 2020; Vol. 670, c. 436.]
He has since announced that the Government are investing £20 million in speeding up development of a vaccine.
Of course this is welcome, but what has happened in the last 10 days to change his mind and his assessment, and what is the realistic timeframe in which the public can expect to see a vaccine developed?
The Secretary of State will recall that during his last statement to the House on the Wuhan coronavirus I raised the importance of vaccination.
At the time, he said that“it is unlikely that a vaccine is going to be available—there is not one now—so that is not the route we should be looking at”—[Official Report, 23 January 2020; Vol. 670, c. 436.]
He has since announced that the Government are investing £20 million in speeding up development of a vaccine.
Of course this is welcome, but what has happened in the last 10 days to change his mind and his assessment, and what is the realistic timeframe in which the public can expect to see a vaccine developed?",488
2020-02-03,Wuhan Coronavirus,c51.5,uk.org.publicwhip/person/24905,Bill Esterson,Labour,"Shadow Minister (Business, Energy and Industrial Strategy), Shadow Minister (International Trade)",0,"Constituents of mine who returned from mainland China were told to self-isolate, even though they showed no symptoms, and that if they developed symptoms they should go to accident and emergency or their GP.
This is the opposite of the advice the Secretary of State set out in his statement and in answer to another hon. Member.
It cannot be right, in terms of both public health and reassuring the public, to have contradictory advice.
Will he make sure that the correct advice is given from now on, as far and as widely as possible?
Constituents of mine who returned from mainland China were told to self-isolate, even though they showed no symptoms, and that if they developed symptoms they should go to accident and emergency or their GP.
This is the opposite of the advice the Secretary of State set out in his statement and in answer to another hon. Member.
It cannot be right, in terms of both public health and reassuring the public, to have contradictory advice.
Will he make sure that the correct advice is given from now on, as far and as widely as possible?",768
2020-02-11,Wuhan Coronavirus,d733.0,uk.org.publicwhip/person/25120,Jon Ashworth,Labour,Shadow Secretary of State for Health,0,"I thank the Secretary of State for advance sight of the statement and advance notice of the regulations and steps he was going to invoke yesterday.
Our thoughts must be with all those diagnosed with novel coronavirus and those in quarantine, and I place on record again our thanks to NHS and Public Health England staff and all other staff involved in responding to the outbreak.
On the specific issue of the quarantine arrangements, I understand the approach the Government have taken, and the Secretary of State will recall that in response to last week’s statement I asked him what would happen should an evacuee wish to leave Arrowe Park.
In response he understandably reminded the House that evacuees had signed contracts that effectively offered passage back to the UK in return for compliance with the Government’s quarantine arrangements.
However, given that questions were raised around how practically enforceable those contracts were, and indeed wider questions about what was allowed under human rights legislation, I understand why the Secretary of State has invoked the regulations that he is entitled to do under the Public Health Acts.
He has our support.
Quarantine arrangements must be seen to be necessary, proportionate and in accordance with law, and enforcement of those quarantine arrangements, including with powers of restraint where necessary, must be fully transparent, and the rights and freedoms of the quarantined evacuees must be fully understood so as to ensure they are treated with dignity and respect.
We agree that a legislative framework for this is far preferable to the ad hoc contracts that were the original basis for the quarantines.
In order to maintain public confidence in these arrangements, that framework must be understood and scrutinised by Parliament.
With that in mind, on the instrument the Secretary of State laid before the House yesterday, at what point will the House get an opportunity to consider the regulations and will that be on the Floor of the House?
I appreciate that the Secretary of State is not one of the business managers—although there is going to be a Government reshuffle so who knows by the end of the week—but if he can give us some clarity at this point on that, we will appreciate it.
Turning to the UK response more generally, can the Secretary of State tell the House if he is asking clinical commissioning groups and trusts to make plans should this outbreak turn into a pandemic in the coming months?
What work is he doing to ensure that the local plans are robust, and can he guarantee they will be fully resourced?
What communications have directors of public health in local authorities received and how will they continue to be kept informed?
Is the Secretary of State confident that NHS 111 has sufficient capacity to deal with increased numbers of calls?
Will community health trusts, which I understand will be tasked with visiting suspected patients in their homes to carry our swab tests, be given extra resources to scale up capacity, or will they be expected to fund this extra work from their existing baselines?
With respect to the capital facility the Secretary of State has announced, I understand that hospitals are being given specialist pods to quarantine patients and access to this facility.
Can he tell us whether GPs have the necessary equipment and resources to cope with patients who may present with novel coronavirus?
Will they be able to apply for this capital facility?
I welcome the Secretary of State’s advice on travel arrangements, not least with school holidays coming up next week.
Many people will want clarification.
Can he assure us that Foreign Office advice is fully aligned with Public Health England advice, and tell us what monitoring arrangements are in place at airports for flights returning not just from China but other places across the world where there has been a coronavirus outbreak?
Finally, can the Secretary of State update the House on international efforts to share research and intelligence, as well as attempts to find a vaccine, and a timescale?
He will know that there is a World Health Organisation summit today, for example.
On behalf of the official Opposition, we again thank all our hardworking NHS staff, particularly those on the frontline, some of whom have been diagnosed with coronavirus.
We thank the Secretary of State for coming to the House, and reiterate our hope that he will continue to keep the House updated in the weeks ahead.",1904
2020-02-11,Wuhan Coronavirus,d735.2,uk.org.publicwhip/person/25318,Philippa Whitford,Scottish National Party,"Shadow SNP Spokesperson (Health and Social Care), Shadow SNP Spokesperson (Exiting the European Union)",0,"I, too, welcome the Secretary of State’s statement, and we support the use of powers to maintain isolation, as they are critical for the health and safety of other people in the country.
I would, however, also support that they must be transparent and proportionate.
I also welcome that the four chief medical officers across the UK are working together on this issue.
The Government are advising symptomatic returnees from the high-risk countries, but should that not be all people returning from high-risk countries?
We simply do not know what the prodromal part of the incubation period is, nor how infectious someone actually is before they have any symptoms at all.
I have to say that I was surprised to see the bus drivers, who were driving those on their way to quarantine, sitting in the front seat in shirt sleeves besides someone in full hazmat gear.
That seemed to me to send out a rather strange message.
It is also advised that only those from Hubei province should self-isolate even if asymptomatic, but we see from the cases in France that this is spreading very quickly and we already have 40,000 cases across 28 countries.
Therefore, if anyone is flying and going through airports, there is the risk of spread, of simply being on an aeroplane with someone coming from China.
I welcome the funding for vaccine research and the expansion to 12 test centres across the four nations,
but what publicity campaign is planned to educate the public upfront not to go to their GP and not to go to accident and emergency, where they will actually spread it to someone else?
I understand that the information is there on the Scottish NHS inform system or 111, but if someone is not looking maybe we need to be proactive about the message.
Finally, the UK is no longer part of the European Centre for Disease Prevention and Control.
While we are able to take part in the early warning and reporting system during transition, we are no longer part of the decision making or central procurement of vaccines.
How much of that system is the UK still able to be part of at the moment during transition and in the long term?
Does that perhaps raise up the agenda some of the areas of co-operation that need to be sought with European Union agencies?",1225
2020-02-11,Wuhan Coronavirus,d739.2,uk.org.publicwhip/person/25820,Munira Wilson,Liberal Democrat,"Liberal Democrat Spokesperson (Transport), Liberal Democrat Spokesperson (Health and Social Care)",0,"The Secretary of State has fielded various questions on the timescales for a vaccine.
If I may be so bold, the chief medical officer told MPs last week that nothing less than a year should be promised for the development of a vaccine or treatment.
Does he agree, therefore, that this is very much a long-term solution and that we must redouble our efforts on the public communication campaign on preventive and self-isolation measures?",228
2020-02-11,Wuhan Coronavirus,d740.5,uk.org.publicwhip/person/10753,Kevin Brennan,Labour,"Shadow Minister (Digital, Culture, Media and Sport) (Arts and Heritage)",0,"I thank the Secretary of State for coming to the House and making this statement.
I have a question about the use of this term “super-spreader”.
In past outbreaks, people categorised in that way have often been demonised.
Will he take this opportunity to explain to people that these so-called super-spreaders might have no idea they have contracted the virus and should in no way be blamed or demonised for spreading it?",195
2020-02-11,Wuhan Coronavirus,d741.4,uk.org.publicwhip/person/13864,Jim Shannon,DUP,"Shadow DUP Spokesperson (Human Rights), Shadow DUP Spokesperson (Health)",0,"With universities in Northern Ireland cancelling trips to China individually, can the Secretary of State outline whether the Government intend to issue guidelines to stop travel between and to infected areas?
Further, is there any intention to do routine tests on anyone recently returned from the infected areas?",96
2020-02-26,Coronavirus,a323.0,uk.org.publicwhip/person/25120,Jon Ashworth,Labour,Shadow Secretary of State for Health,0,"I thank the Secretary of State for advance notice of his announcement and for sight of his statement.
Again, all our thoughts must be with those who have been diagnosed with coronavirus—covid-19—in the UK and across Europe, and again we reiterate our support and put on record our thanks to all NHS staff and public health staff, as well as to the chief medical officer for the leadership he is showing.
The World Health Organisation has warned that countries are “simply not ready” for a pandemic.
There has now been significant spread of the virus across the European continent—in Italy in particular, but other cases have been identified in Austria, Croatia and Switzerland.
This is clearly now very serious.
Yesterday there did appear to be a little bit of a discrepancy, if I may say so, between the travel advice from the CMO and the Secretary of State.
Can the Secretary of State clarify for the House what exactly the travel advice is for those travelling or seeking to travel to northern Italy?
I think that would be welcome.
We welcome the Secretary of State’s plans for Heathrow.
Could he explain to the House why that facility is proposed only for Heathrow, and why similar facilities will not be in place at other major airports, particularly the bigger airports such as Manchester and so on.
The Secretary of State mentioned the situation in Tenerife.
We are all obviously very concerned about the situation there.
Could he offer a little more detail about what advice and support are being offered to British nationals at this hotel?
I note what the Secretary of State says about schools, and I entirely understand it, but we do have several schools in England and Northern Ireland shut completely at the moment for a deep clean, after students and teachers returned from skiing trips.
I understand that schools should check relevant websites and get local advice, but does the Secretary of State expect advice to be sent to schools from the Department for Education?
If schools have to start shutting, will the Government consider arrangements for alternative schooling provision for those affected?
Will the Secretary of State update the House on how many specialist and extracorporeal membrane oxygenation beds are available across the NHS?
We know that the NHS is under intense pressure at this time of year—indeed, today the BBC is running a story about people waiting on trolleys in hospital corridors and so on.
The Nuffield Trust has warned that there is “little in the tank” to cope with coronavirus, and Public Health England has announced that tests for the condition are being increased to include people displaying flu-like symptoms at 11 hospitals and 100 GP surgeries across the UK.
Will community trusts and clinical commissioning groups fund the extra work related to coronavirus from their existing baselines, and is the Secretary of State making representations to the Treasury for additional emergency NHS revenue resource in the coming weeks?
Will he update the House on how much has been drawn from the capital facility for hospitals to develop specialist pods to quarantine patients, which he announced in his previous statement?
I reiterate that the Opposition want to work constructively with the Government on this issue.
We are broadly supportive of the steps taken by the Secretary of State, and I hope he understands that we are trying to be constructive in our questions.
We continue to thank all NHS staff for their work at this difficult time.",1713
2020-02-26,Coronavirus,a325.4,uk.org.publicwhip/person/25318,Philippa Whitford,Scottish National Party,"Shadow SNP Spokesperson (Health and Social Care), Shadow SNP Spokesperson (Exiting the European Union)",0,"Worldwide we are looking at about 80,000 cases of coronavirus.
That is 10 times the number that we saw with SARS, which suggests it is a very infectious condition.
Will the UK Government liaise with international partners to ensure accurate reporting?
It is critical to map the spread of coronavirus, and there will be a danger that some countries under-report because they are afraid of economic impacts.
Has any consideration been given to using thermal detection technology at Heathrow, and for that to be spread across more sites?
We can no longer think that this only involves people who come from a few countries—people follow different routes, and almost everyone coming in would need to be screened.
As the Secretary of State said, there is only a small window of opportunity when it is possible to prevent or contain the initial spread of coronavirus.
As I have previously said, I am concerned about not self-isolating asymptomatic people, particularly when we are aware that the case that spread the condition to others in the UK involved someone who was not significantly symptomatic.
We do not know what the prodromal phase of coronavirus is, and people could be spreading the condition without our knowledge.
The advice must be clear.
Does the Secretary of State recognise the confusion there is that those returning from certain parts of north Italy must self-isolate, even if asymptomatic, but those coming from China do not need to self-isolate if asymptomatic?
That is causing confusion and we may end up behind the curve.
If containment is to work, we must be ahead of the curve.
Self-isolating does not count as illness, so will the Government send a clear message to employers, so that those who are advised to self-isolate will still be paid or receive sickness cover?
Otherwise, there will be people who feel that they must go to work, because they simply cannot afford to have no income for two weeks.
The Secretary of State suggested that he would not go to wider northern Italy, and the Chief Medical Officer suggested that people with health conditions should not go there.
Travel insurance kicks in only when the Foreign and Commonwealth Office gives clear guidance.
Will that guidance be changed to state that people should not be travelling to wider northern Italy, and other areas, so that people are not disadvantaged by not having travel insurance if they choose not to put themselves, and indeed all of us, at risk of the disease spreading?",1658
2020-02-26,Coronavirus,a328.1,uk.org.publicwhip/person/25689,Layla Moran,Liberal Democrat,Liberal Democrat Spokesperson (Education),0,"I join others in thanking NHS staff in advance for the work they will have to do to contain and deal with the coronavirus.
Will the Secretary of State join me in commending the work of Professor Gilbert and others at the Jenner Institute, who are working tirelessly to develop a vaccine?
IAs he said in his statement, the NHS 111 service is now in effect the frontline service.
We may have received text messages from our GP surgeries telling us to contact them first.
What are we doing to ensure they are properly staffed and trained?
Finally—this is very important, Mr Speaker—will he join me in condemning those who are hurling racist abuse at British Asians, both in Oxford and elsewhere?
There is a worry that we could racially profile those who may have this disease and that is not acceptable.
We all need to calm down.",692
2020-02-26,Coronavirus,a331.2,uk.org.publicwhip/person/10753,Kevin Brennan,Labour,"Shadow Minister (Digital, Culture, Media and Sport) (Arts and Heritage)",0,"The Irish authorities have already advised the Irish Rugby Football Union to call off the Six Nations game against Italy, which obviously affects the north, as it is a Northern Ireland team as well.
England are due to play Italy in the Six Nations in a few weeks.
What discussions has the Secretary of State had with his colleagues in the Department for Digital, Culture, Media and Sport and with the sporting authorities about advising what to do in relation to the Six Nations championship and other sporting events?",267
2020-02-26,Coronavirus,a333.3,uk.org.publicwhip/person/13852,Ian Paisley Jnr,DUP,"Shadow DUP Spokesperson (Communities and Local Government), Shadow DUP Spokesperson (Culture, Media and Sport)",0,"I welcome the level-headed clarion certainty in the Secretary of State’s approach to this difficult event; it gives confidence to many people across the country.
Cambridge House Grammar School in my constituency had to send pupils home yesterday.
It appears to have acted absolutely by the book in terms of the advice given, so I welcome the communication between the Department of Health and Social Care here and the Departments of Education and Health in Northern Ireland, and I hope it continues.
IWith regard to the game to be played on Saturday between Italy and Ireland, many Ulster players and Ulster fans are following that closely.
His counterpart in the Republic of Ireland, Simon Harris, has said the game should be stopped, but the Department here has taken a much more level-headed approach and said it will monitor the situation.
The IRFU, which will ultimately take the decision, does not seem to know what to do.
Can the Secretary of State give clear and clarion advice to the IRFU?",601
2020-02-26,Coronavirus,a334.2,uk.org.publicwhip/person/25629,Paul Girvan,DUP,"Shadow DUP Spokesperson (Transport), Shadow DUP Spokesperson (Education)",0,"I thank the Secretary of State for his statement to the House.
What advice and help is being given to airport staff, given that they are often the gatekeepers?",58
2020-02-26,Coronavirus,a334.6,uk.org.publicwhip/person/13864,Jim Shannon,DUP,"Shadow DUP Spokesperson (Human Rights), Shadow DUP Spokesperson (Health)",0,"I congratulate the Secretary of State on his clear leadership on this matter and his determination to deal with the issues.
He referred to schools in Northern Ireland.
Some of them have concerns about upcoming trips that they have planned and paid for in advance.
What advice can he give to schools in Northern Ireland and across the United Kingdom?
Should they travel?",189
