id,text,split_,text_id,metadata__year,metadata__party,label
133912,"We will enact the Lok Pal Bill with adequate powers to deal with corruption charges against anyone, including the Prime Minister .",1,146,1999,BJP,Pledge
133913,Our target is to achieve at least $10 billion per year which will commensurate with our growth objectives .,1,60,1999,BJP,Pledge
133914,The rate of both public and private investment has declined over the period that the BJP - led NDA government has been in office .,1,112,2004,INC,No Pledge
133915,We will undertake all necessary legislative and administrative measures to ensure the right of franchise of the Armed Forces through proxy voting and or any other method .,1,145,1999,BJP,Pledge
133916,"However, they have been facing many problems with rapid urbanization and changes in the traditional joint families .",1,758,2004,BJP,No Pledge
133917,We will amend the Service Rules to reserve for women 33 per cent of appointments to posts in the Central Government .,1,697,2019,INC,Pledge
133918,"Space research, peaceful uses of nuclear energy, and civilian applications of defense research will be further promoted, building on India’s self - reliant strides in these areas .",1,433,2004,BJP,Pledge
133919,Congress reiterates its firm belief in a high rate of growth of GDP .,1,262,2019,INC,No Pledge
133920,This must be reinforced by other programmes for the development and diversification of the rural economy .,1,270,1999,INC,No Pledge
133921,"We will ensure a 'Swachh Bharat' by Gandhiji's 150th birth anniversary in 2019, taking it up in mission mode by converging resources and building around jan bhagidari :",1,583,2014,BJP,Pledge
133922,The Indian National Congress also proposes to reserve one - third of all central government jobs for women .,1,278,2009,INC,No Pledge
133923,One of the main reasons for this is the absence of proper urban and rural sanitation and poor liquid and solid waste management .,1,346,1999,INC,No Pledge
133924,"We have constructed over 9 crore toilets under our flagship programme, Swachh Bharat Mission .",1,275,2019,BJP,No Pledge
133925,Fiscal incentives to promote employment - intensive growth will be introduced .,1,175,2004,INC,Pledge
133926,"We are committed to establishing a civilised, humane and just civil order ; that which does not discriminate on ground — of caste, religion, class, colour, race or sex .",1,166,1999,BJP,No Pledge
133927,It is the Congress that began the process of extending social security to the 93 per cent work force that subsists In the unorganized sector .,1,46,2004,INC,No Pledge
133928,Exempt income up to Rs 3 lakh from Income Tax .,1,252,2009,BJP,No Pledge
133929,"We will further encourage integrated development of coastal areas including coastal cities, coastal transport and coastal industrialization .",1,308,2019,BJP,Pledge
133930,"The Indian National Congress is the only party that combines experience and youth, wisdom and exuberance, achievement and ambition .",1,12,2009,INC,No Pledge
133931,"Congress promises an adequately capitalised Tourism Development Bank to provide low - cost, long - term funds for investment in tourism - related businesses .",1,119,2019,INC,Pledge
133932,The Indian National Congress also acknowledges the vital role remittances by overseas Indians play in bolstering the country’s finances .,1,417,2009,INC,No Pledge
133933,"At the same time the country cannot do without FDI because besides capital stock it brings with it technology, new market practices and most importantly employment .",1,59,1999,BJP,No Pledge
133934,"New godowns, storage facilities, cold storage nehvorks and access roads will get priority .",1,244,1999,INC,No Pledge
