uid,text,label,metadata__gold,metadata__sentence_id,metadata__pre_sentence,metadata__post_sentence,metadata__manifesto_id
2010000171,"The BNP will deport all foreigners convicted of crimes in Britain, regardless of their  immigration status.",1,TRUE,2010000171,"These steps will include a halt to all further immigration, the deportation of all illegal immigrants, a halt to the ""asylum"" swindle and the promotion of the already existing voluntary repatriation scheme. The BNP recognises the right of legally settled and law-abiding minorities to remain in  the UK and enjoy the full protection of the law, on the understanding that the indigenous  population of Britain has the right to remain the majority population of our nation.","The BNP will review all citizenship grants awarded since Labour entered government  in 1997, based on that party's admission that they orchestrated mass immigration to  forcibly change Britain's demographics and to gerrymander elections. The BNP will repeal the Race Relations Act and all other far leftist social engineering  projects, such as the Equalities and Human Rights Commission aimed at enforcing  multiculturalism.",BNP 2010
2010000172,"The BNP will review all citizenship grants awarded since Labour entered government  in 1997, based on that party's admission that they orchestrated mass immigration to  forcibly change Britain's demographics and to gerrymander elections.",1,FALSE,2010000172,"The BNP recognises the right of legally settled and law-abiding minorities to remain in  the UK and enjoy the full protection of the law, on the understanding that the indigenous  population of Britain has the right to remain the majority population of our nation. The BNP will deport all foreigners convicted of crimes in Britain, regardless of their  immigration status.","The BNP will repeal the Race Relations Act and all other far leftist social engineering  projects, such as the Equalities and Human Rights Commission aimed at enforcing  multiculturalism. The BNP will regain sovereign control of our borders by increasing funding to the  UK Border Agency.",BNP 2010
2010000174,The BNP will regain sovereign control of our borders by increasing funding to the  UK Border Agency.,1,FALSE,2010000174,"The BNP will review all citizenship grants awarded since Labour entered government  in 1997, based on that party's admission that they orchestrated mass immigration to  forcibly change Britain's demographics and to gerrymander elections. The BNP will repeal the Race Relations Act and all other far leftist social engineering  projects, such as the Equalities and Human Rights Commission aimed at enforcing  multiculturalism.","The Scale of the Crisis.  Britain's existence is in grave peril, threatened by immigration and multiculturalism. In the absence of urgent action, we, the indigenous British people, will be reduced to minority status in our own ancestral homeland within two generations.",BNP 2010
2010000175,"The Scale of the Crisis.  Britain's existence is in grave peril, threatened by immigration and multiculturalism.",1,FALSE,2010000175,"The BNP will repeal the Race Relations Act and all other far leftist social engineering  projects, such as the Equalities and Human Rights Commission aimed at enforcing  multiculturalism. The BNP will regain sovereign control of our borders by increasing funding to the  UK Border Agency.","In the absence of urgent action, we, the indigenous British people, will be reduced to minority status in our own ancestral homeland within two generations. We, alone of all the political parties, have a decades-long record of truthfully articulating our concerns, often with foresight, and long before many of the problems associated with multiculturalism entered the public consciousness.",BNP 2010
2010000178,"British People Set to be a Minority within 30-50 Years: The Official Figures.  According to the Office for National Statistics (ONS), legal Third World immigrants made up 14.7 percent (7.5 million) of the population of England in 2004 (""Population review of 2004 and 2005: England and Wales"", Karen Gask, Office for National Statistics).",1,FALSE,2010000178,"In the absence of urgent action, we, the indigenous British people, will be reduced to minority status in our own ancestral homeland within two generations. We, alone of all the political parties, have a decades-long record of truthfully articulating our concerns, often with foresight, and long before many of the problems associated with multiculturalism entered the public consciousness.","According to the ONS, 10.9 percent (or 6.7 million) of the currently resident population of Britain was not born in this country (""One in 10 of population born abroad"", Telegraph, 09 Dec 2009). In 2005, the ONS issued a separate report which said that 36 percent of all births in England and Wales were not ""white British"" (""Birthweight and gestational age by ethnic group, England and Wales 2005: introducing new data on births"", Kath Moser, Office for National Statistics).",BNP 2010
2010000179,"According to the ONS, 10.9 percent (or 6.7 million) of the currently resident population of Britain was not born in this country (""One in 10 of population born abroad"", Telegraph, 09 Dec 2009).",0,FALSE,2010000179,"We, alone of all the political parties, have a decades-long record of truthfully articulating our concerns, often with foresight, and long before many of the problems associated with multiculturalism entered the public consciousness. British People Set to be a Minority within 30-50 Years: The Official Figures.  According to the Office for National Statistics (ONS), legal Third World immigrants made up 14.7 percent (7.5 million) of the population of England in 2004 (""Population review of 2004 and 2005: England and Wales"", Karen Gask, Office for National Statistics).","In 2005, the ONS issued a separate report which said that 36 percent of all births in England and Wales were not ""white British"" (""Birthweight and gestational age by ethnic group, England and Wales 2005: introducing new data on births"", Kath Moser, Office for National Statistics). This 2005 birth rate figure does not include births to second and third generation immigrant mothers.",BNP 2010
2010000181,This 2005 birth rate figure does not include births to second and third generation immigrant mothers.,0,FALSE,2010000181,"According to the ONS, 10.9 percent (or 6.7 million) of the currently resident population of Britain was not born in this country (""One in 10 of population born abroad"", Telegraph, 09 Dec 2009). In 2005, the ONS issued a separate report which said that 36 percent of all births in England and Wales were not ""white British"" (""Birthweight and gestational age by ethnic group, England and Wales 2005: introducing new data on births"", Kath Moser, Office for National Statistics).","Figures released by the ONS in January 2009 revealed that the Muslim population in Britain has grown by more than 500,000 to 2.4 million in just four years. Their population multiplied 10 times faster than the rest of society (""Muslim population `rising 10 times faster than rest of society'"", the Times, 30 January 2009).",BNP 2010
2010000186,"The majority of the `new immigrants' are not from Eastern Europe, as is often widely claimed.",0,FALSE,2010000186,"An August 2008 ONS population report stated that, on average, `foreign' women have 2.5 children each, rising to 3.9 for those from Bangladesh and Almost five for Pakistani women (""Most children of British mothers born out of wedlock"", Telegraph, 11 July 2008). When these figures are added in, the immigrant birth rate is estimated to be around 50 percent of all live births in England and Wales.","According to the ONS figures, immigrants from Eastern Europe had 25,000 children in Britain last year -an absolute minority of the just over 700,000 live births (""Number of foreigners in UK hits record 6.7m"", BBC, 8 December 2009). According to the Birmingham City Council, 61 percent of all primary school children in greater Birmingham are of Third World origin (""Asian pupils outnumber white children in Birmingham primary schools for the first time"", Birmingham Mail, 26 Jan 2010).",BNP 2010
2010000191,"Some 150 languages are spoken in schools in Reading, an indication of the extent of the invasion in Berkshire (""150 different languages spoken in Reading schools"", Reading Post, 8 February 2010).",1,FALSE,2010000191,"Over 300 languages are currently spoken in London schools. Some of the most established of these are Bengali, Gujarati, Punjabi, Cantonese, Mandarin and Hokkien (""Languages across Europe"", BBC).","All these statistics taken together show that the non-British ethnic population is increasing in number exponentially, and given current immigration and birth rates, will utterly overwhelm the indigenous population of Britain well within the next 50 years, and more likely within 30 years. The Disastrous Effect of Mass Immigration on British Society. There is no escaping the fact that the admission into this country of large numbers of foreigners has, inter alia, created a poorer, more violent, uncertain, disorientated, confused, politically correct, ill-educated, dependent, fractured society.",BNP 2010
2010000192,"All these statistics taken together show that the non-British ethnic population is increasing in number exponentially, and given current immigration and birth rates, will utterly overwhelm the indigenous population of Britain well within the next 50 years, and more likely within 30 years.",1,FALSE,2010000192,"Some of the most established of these are Bengali, Gujarati, Punjabi, Cantonese, Mandarin and Hokkien (""Languages across Europe"", BBC). Some 150 languages are spoken in schools in Reading, an indication of the extent of the invasion in Berkshire (""150 different languages spoken in Reading schools"", Reading Post, 8 February 2010).","The Disastrous Effect of Mass Immigration on British Society. There is no escaping the fact that the admission into this country of large numbers of foreigners has, inter alia, created a poorer, more violent, uncertain, disorientated, confused, politically correct, ill-educated, dependent, fractured society. We do not share the Orwellian knee-jerk response familiar to the opinion formers within the BBC and elsewhere that it is `racist' to discuss immigration and population density.",BNP 2010
2010000193,"The Disastrous Effect of Mass Immigration on British Society. There is no escaping the fact that the admission into this country of large numbers of foreigners has, inter alia, created a poorer, more violent, uncertain, disorientated, confused, politically correct, ill-educated, dependent, fractured society.",1,TRUE,2010000193,"Some 150 languages are spoken in schools in Reading, an indication of the extent of the invasion in Berkshire (""150 different languages spoken in Reading schools"", Reading Post, 8 February 2010). All these statistics taken together show that the non-British ethnic population is increasing in number exponentially, and given current immigration and birth rates, will utterly overwhelm the indigenous population of Britain well within the next 50 years, and more likely within 30 years.","We do not share the Orwellian knee-jerk response familiar to the opinion formers within the BBC and elsewhere that it is `racist' to discuss immigration and population density. The word `racist', which is of loose definition, was invented by the arch Marxist Leon Trotsky in order to suppress any debate on this important subject.",BNP 2010
2010000194,We do not share the Orwellian knee-jerk response familiar to the opinion formers within the BBC and elsewhere that it is `racist' to discuss immigration and population density.,1,FALSE,2010000194,"All these statistics taken together show that the non-British ethnic population is increasing in number exponentially, and given current immigration and birth rates, will utterly overwhelm the indigenous population of Britain well within the next 50 years, and more likely within 30 years. The Disastrous Effect of Mass Immigration on British Society. There is no escaping the fact that the admission into this country of large numbers of foreigners has, inter alia, created a poorer, more violent, uncertain, disorientated, confused, politically correct, ill-educated, dependent, fractured society.","The word `racist', which is of loose definition, was invented by the arch Marxist Leon Trotsky in order to suppress any debate on this important subject. Because of this, the ongoing arrival into the UK of between 300,000_500,000 Third World immigrants each year is an issue that all three of the old gang parties have refused to discuss.",BNP 2010
2010000195,"The word `racist', which is of loose definition, was invented by the arch Marxist Leon Trotsky in order to suppress any debate on this important subject.",1,FALSE,2010000195,"The Disastrous Effect of Mass Immigration on British Society. There is no escaping the fact that the admission into this country of large numbers of foreigners has, inter alia, created a poorer, more violent, uncertain, disorientated, confused, politically correct, ill-educated, dependent, fractured society. We do not share the Orwellian knee-jerk response familiar to the opinion formers within the BBC and elsewhere that it is `racist' to discuss immigration and population density.","Because of this, the ongoing arrival into the UK of between 300,000_500,000 Third World immigrants each year is an issue that all three of the old gang parties have refused to discuss. There are many difficulties typical within multicultural societies.",BNP 2010
2010000196,"Because of this, the ongoing arrival into the UK of between 300,000_500,000 Third World immigrants each year is an issue that all three of the old gang parties have refused to discuss.",1,FALSE,2010000196,"We do not share the Orwellian knee-jerk response familiar to the opinion formers within the BBC and elsewhere that it is `racist' to discuss immigration and population density. The word `racist', which is of loose definition, was invented by the arch Marxist Leon Trotsky in order to suppress any debate on this important subject.","There are many difficulties typical within multicultural societies. Quite apart from the enormous costs (estimated at £13 billion per year), problems in Britain include social breakdown, the deterioration of community spirit and neighbourliness, the erosion of our Christian heritage, the dilution of our history and culture, the promulgation of totalitarian legislation alien to these islands, congestion on roads and railways, the erosion of the countryside, pressures on social services, and so on.",BNP 2010
2010000197,There are many difficulties typical within multicultural societies.,1,FALSE,2010000197,"The word `racist', which is of loose definition, was invented by the arch Marxist Leon Trotsky in order to suppress any debate on this important subject. Because of this, the ongoing arrival into the UK of between 300,000_500,000 Third World immigrants each year is an issue that all three of the old gang parties have refused to discuss.","Quite apart from the enormous costs (estimated at £13 billion per year), problems in Britain include social breakdown, the deterioration of community spirit and neighbourliness, the erosion of our Christian heritage, the dilution of our history and culture, the promulgation of totalitarian legislation alien to these islands, congestion on roads and railways, the erosion of the countryside, pressures on social services, and so on. A Case Study: Crime and Immigration. Immigration has had a dramatic effect on Britain's rising crime rate.",BNP 2010
2010000199,A Case Study: Crime and Immigration. Immigration has had a dramatic effect on Britain's rising crime rate.,1,FALSE,2010000199,"There are many difficulties typical within multicultural societies. Quite apart from the enormous costs (estimated at £13 billion per year), problems in Britain include social breakdown, the deterioration of community spirit and neighbourliness, the erosion of our Christian heritage, the dilution of our history and culture, the promulgation of totalitarian legislation alien to these islands, congestion on roads and railways, the erosion of the countryside, pressures on social services, and so on.","According to official figures, over 77 percent of adult black males between the ages of 18 and 35 are on the police's DNA database (""Debate on DNA database continues to rage"", Computing.co.uk, 12 January 2010). A person's DNA is only added to that database when in police custody for a recordable offence.",BNP 2010
2010000209,"Immigration Has Harmed British Jobs The concept of ""British jobs for British workers"" has been terminally undermined by employment figures released by the Office for National Statistics which show that within the private sector, there were 288,000 fewer Britons working in the third quarter of 2009, compared to 1997.",1,TRUE,2010000209,"The study, titled ""Interracial Violence"", produced by well known researcher Tony Shell, has shown that white victims of racist murders are over-represented by a factor of 32 for the time period 2004 to 2007. UK figures for unemployment, as well as welfare dependency, educational failure, and other social pathologies tell a similar story, each disproportionately involving ethnic groups.","If those working beyond pension age are removed from the equation, then it transpires that there are currently 637,000 fewer Britons working than in 1997. Overall, immigrants have taken up more than 1.64 million of the 1.67 million jobs created since 1997.",BNP 2010
2010000211,"Overall, immigrants have taken up more than 1.64 million of the 1.67 million jobs created since 1997.",1,FALSE,2010000211,"Immigration Has Harmed British Jobs The concept of ""British jobs for British workers"" has been terminally undermined by employment figures released by the Office for National Statistics which show that within the private sector, there were 288,000 fewer Britons working in the third quarter of 2009, compared to 1997. If those working beyond pension age are removed from the equation, then it transpires that there are currently 637,000 fewer Britons working than in 1997.","The Labour Party Deliberately Engineered Mass Immigration Recent revelations from Labour Party officials have confirmed what we always knew: that immigration has been deceitfully and deliberately employed to dilute British identity and to gerrymander the UK electoral system. Former Labour advisor Andrew Neather admitted that the social objective of Labour's immigration policy was to ""rub the Right's nose in diversity and render their arguments out of date."" Labour's deliberate policy of undermining British identity in this manner forms the rationale behind the BNP's plan to implement an urgent review of all citizenship grants made since 1997.",BNP 2010
2010000212,The Labour Party Deliberately Engineered Mass Immigration Recent revelations from Labour Party officials have confirmed what we always knew: that immigration has been deceitfully and deliberately employed to dilute British identity and to gerrymander the UK electoral system.,1,FALSE,2010000212,"If those working beyond pension age are removed from the equation, then it transpires that there are currently 637,000 fewer Britons working than in 1997. Overall, immigrants have taken up more than 1.64 million of the 1.67 million jobs created since 1997.","Former Labour advisor Andrew Neather admitted that the social objective of Labour's immigration policy was to ""rub the Right's nose in diversity and render their arguments out of date."" Labour's deliberate policy of undermining British identity in this manner forms the rationale behind the BNP's plan to implement an urgent review of all citizenship grants made since 1997. The BNP will ensure that the honour and benefit of British citizenship has gone to people who are contributing to society.",BNP 2010
2010000213,"Former Labour advisor Andrew Neather admitted that the social objective of Labour's immigration policy was to ""rub the Right's nose in diversity and render their arguments out of date."" Labour's deliberate policy of undermining British identity in this manner forms the rationale behind the BNP's plan to implement an urgent review of all citizenship grants made since 1997.",1,FALSE,2010000213,"Overall, immigrants have taken up more than 1.64 million of the 1.67 million jobs created since 1997. The Labour Party Deliberately Engineered Mass Immigration Recent revelations from Labour Party officials have confirmed what we always knew: that immigration has been deceitfully and deliberately employed to dilute British identity and to gerrymander the UK electoral system.",The BNP will ensure that the honour and benefit of British citizenship has gone to people who are contributing to society. Those who have been brought in under false pretences by Labour and who are a burden on Britain and British society will be politely but firmly shown the door.,BNP 2010
2010000214,The BNP will ensure that the honour and benefit of British citizenship has gone to people who are contributing to society.,1,FALSE,2010000214,"The Labour Party Deliberately Engineered Mass Immigration Recent revelations from Labour Party officials have confirmed what we always knew: that immigration has been deceitfully and deliberately employed to dilute British identity and to gerrymander the UK electoral system. Former Labour advisor Andrew Neather admitted that the social objective of Labour's immigration policy was to ""rub the Right's nose in diversity and render their arguments out of date."" Labour's deliberate policy of undermining British identity in this manner forms the rationale behind the BNP's plan to implement an urgent review of all citizenship grants made since 1997.","Those who have been brought in under false pretences by Labour and who are a burden on Britain and British society will be politely but firmly shown the door. THE BNP'S PROGRAMME TO SAVE BRITAIN.   As trustees for future generations, it is our task to ensure that we do not become a dispossessed minority in our own homeland.",BNP 2010
2010000215,Those who have been brought in under false pretences by Labour and who are a burden on Britain and British society will be politely but firmly shown the door.,1,FALSE,2010000215,"Former Labour advisor Andrew Neather admitted that the social objective of Labour's immigration policy was to ""rub the Right's nose in diversity and render their arguments out of date."" Labour's deliberate policy of undermining British identity in this manner forms the rationale behind the BNP's plan to implement an urgent review of all citizenship grants made since 1997. The BNP will ensure that the honour and benefit of British citizenship has gone to people who are contributing to society.","THE BNP'S PROGRAMME TO SAVE BRITAIN.   As trustees for future generations, it is our task to ensure that we do not become a dispossessed minority in our own homeland. It is our responsibility to past and future generations of Britons to ensure that we retain our culture and identity.",BNP 2010
2010000216,"THE BNP'S PROGRAMME TO SAVE BRITAIN.   As trustees for future generations, it is our task to ensure that we do not become a dispossessed minority in our own homeland.",1,FALSE,2010000216,The BNP will ensure that the honour and benefit of British citizenship has gone to people who are contributing to society. Those who have been brought in under false pretences by Labour and who are a burden on Britain and British society will be politely but firmly shown the door.,It is our responsibility to past and future generations of Britons to ensure that we retain our culture and identity. The BNP's programme to save the British people is as follows: 1. Declare Britain a Non-Immigration Country.  Britain is already the most densely populated nation in Europe and a BNP government would officially declare it to be a non-immigration country.,BNP 2010
2010000218,The BNP's programme to save the British people is as follows: 1. Declare Britain a Non-Immigration Country.  Britain is already the most densely populated nation in Europe and a BNP government would officially declare it to be a non-immigration country.,1,FALSE,2010000218,"THE BNP'S PROGRAMME TO SAVE BRITAIN.   As trustees for future generations, it is our task to ensure that we do not become a dispossessed minority in our own homeland. It is our responsibility to past and future generations of Britons to ensure that we retain our culture and identity.","Work permits will only be issued in exceptional circumstances, for example, when the Government determines there is a need to rebuild British industry or when there is a genuine shortage of skills. We shall permit genuine students, so long as they possess health insurance.",BNP 2010
2010000219,"Work permits will only be issued in exceptional circumstances, for example, when the Government determines there is a need to rebuild British industry or when there is a genuine shortage of skills.",1,FALSE,2010000219,It is our responsibility to past and future generations of Britons to ensure that we retain our culture and identity. The BNP's programme to save the British people is as follows: 1. Declare Britain a Non-Immigration Country.  Britain is already the most densely populated nation in Europe and a BNP government would officially declare it to be a non-immigration country.,"We shall permit genuine students, so long as they possess health insurance. This latter concession will also assist with our long-term policy of re-building Third World economies in order to facilitate the voluntary return of their nationals or descendants, under our long-term resettlement programme.",BNP 2010
2010000220,"We shall permit genuine students, so long as they possess health insurance.",1,FALSE,2010000220,"The BNP's programme to save the British people is as follows: 1. Declare Britain a Non-Immigration Country.  Britain is already the most densely populated nation in Europe and a BNP government would officially declare it to be a non-immigration country. Work permits will only be issued in exceptional circumstances, for example, when the Government determines there is a need to rebuild British industry or when there is a genuine shortage of skills.","This latter concession will also assist with our long-term policy of re-building Third World economies in order to facilitate the voluntary return of their nationals or descendants, under our long-term resettlement programme. 2. Deport all illegal immigrants.  We shall deport all illegal immigrants and bogus asylum seekers, including their dependents.",BNP 2010
2010000222,"2. Deport all illegal immigrants.  We shall deport all illegal immigrants and bogus asylum seekers, including their dependents.",1,TRUE,2010000222,"We shall permit genuine students, so long as they possess health insurance. This latter concession will also assist with our long-term policy of re-building Third World economies in order to facilitate the voluntary return of their nationals or descendants, under our long-term resettlement programme.","We note that even under the current unacceptably lax deportation policies, thousands of people are deported from the UK annually without incident. It is estimated that there are well in excess of one million illegal immigrants in Britain today.",BNP 2010
2010000223,"We note that even under the current unacceptably lax deportation policies, thousands of people are deported from the UK annually without incident.",1,FALSE,2010000223,"This latter concession will also assist with our long-term policy of re-building Third World economies in order to facilitate the voluntary return of their nationals or descendants, under our long-term resettlement programme. 2. Deport all illegal immigrants.  We shall deport all illegal immigrants and bogus asylum seekers, including their dependents.","It is estimated that there are well in excess of one million illegal immigrants in Britain today. Illegal immigration must be considered to be an aspect of national security, not merely an issue of social policy.",BNP 2010
2010000224,It is estimated that there are well in excess of one million illegal immigrants in Britain today.,1,FALSE,2010000224,"2. Deport all illegal immigrants.  We shall deport all illegal immigrants and bogus asylum seekers, including their dependents. We note that even under the current unacceptably lax deportation policies, thousands of people are deported from the UK annually without incident.","Illegal immigration must be considered to be an aspect of national security, not merely an issue of social policy. Arrests of Islamic terrorists in Britain, plotting mass murder, and second-generation `Britons' engaged in the 2005 bombing campaign illustrate the link between illegal immigration and terrorism.",BNP 2010
2010000225,"Illegal immigration must be considered to be an aspect of national security, not merely an issue of social policy.",1,FALSE,2010000225,"We note that even under the current unacceptably lax deportation policies, thousands of people are deported from the UK annually without incident. It is estimated that there are well in excess of one million illegal immigrants in Britain today.","Arrests of Islamic terrorists in Britain, plotting mass murder, and second-generation `Britons' engaged in the 2005 bombing campaign illustrate the link between illegal immigration and terrorism. The link between illegal immigration and crime in our communities -including the ruthless exploitation of the immigrants themselves -is also well documented.",BNP 2010
2010000226,"Arrests of Islamic terrorists in Britain, plotting mass murder, and second-generation `Britons' engaged in the 2005 bombing campaign illustrate the link between illegal immigration and terrorism.",1,FALSE,2010000226,"It is estimated that there are well in excess of one million illegal immigrants in Britain today. Illegal immigration must be considered to be an aspect of national security, not merely an issue of social policy.","The link between illegal immigration and crime in our communities -including the ruthless exploitation of the immigrants themselves -is also well documented. 3. Halt the ""Asylum"" Swindle.  We recognise (under the UN Convention on Refugees) the existence of legitimate international refugees from persecution and war.",BNP 2010
2010000227,The link between illegal immigration and crime in our communities -including the ruthless exploitation of the immigrants themselves -is also well documented.,1,FALSE,2010000227,"Illegal immigration must be considered to be an aspect of national security, not merely an issue of social policy. Arrests of Islamic terrorists in Britain, plotting mass murder, and second-generation `Britons' engaged in the 2005 bombing campaign illustrate the link between illegal immigration and terrorism.","3. Halt the ""Asylum"" Swindle.  We recognise (under the UN Convention on Refugees) the existence of legitimate international refugees from persecution and war. This convention provides that such persons must seek refuge in the nearest safe country bordering the one they are fleeing.",BNP 2010
