uid,text,label,metadata__gold,metadata__sentence_id,metadata__pre_sentence,metadata__post_sentence
10002191,The time has now come for school reform.,0,FALSE,10002191,"Parents and employers are rightly concerned that not enough children master the basic skills, that some of what is taught seems irrelevant to a good education and that standards of personal discipline and aspirations are too low. In certain cases education is used for political indoctrination and sexual propaganda.","Four Major Reforms. First, we will establish a National Core Curriculum. It is vital to ensure that all pupils between the ages of 5 to 16 study a basic range of subjects - including maths, English and science."
10002291,"Third, we will increase parental choice.",1,FALSE,10002291,"With this independence they will manage their resources and decide their priorities, covering the cost of books, equipment, maintenance and staff. Several pilot schemes for financial devolution to schools have already proved their worth, such as those in Cambridgeshire and Solihull.",The most consistent pressure for high standard in schools comes from parents. They have a powerful incentive to ensure that their children receive a good education.
10002321,We have already done much through the 1980 and 1986 Education Acts so that parents can make their voice heard.,0,FALSE,10002321,The most consistent pressure for high standard in schools comes from parents. They have a powerful incentive to ensure that their children receive a good education.,But parents still need better opportunities to send their children to the school of their choice. That would be the best guarantee of higher standards.
10002331,But parents still need better opportunities to send their children to the school of their choice.,0,FALSE,10002331,They have a powerful incentive to ensure that their children receive a good education. We have already done much through the 1980 and 1986 Education Acts so that parents can make their voice heard.,That would be the best guarantee of higher standards. To achieve this: We will ensure that Local Education Authorities (LEAs) set school budgets in line with the number of pupils who will be attending each school.
10002371,"Popular schools, which have earned parental support by offering good education, will then be able to expand beyond present pupil numbers.",0,FALSE,10002371,"To achieve this: We will ensure that Local Education Authorities (LEAs) set school budgets in line with the number of pupils who will be attending each school. Schools will be required to enrol children up to the school's physical capacity instead of artificially restricting pupil numbers, as can happen today.",These steps will compel schools to respond to the views of parents. But there must also be variety of educational provision so that parents can better compare one school with another.
10002411,We will establish a pilot network of City Technology Colleges.,-1,FALSE,10002411,"But there must also be variety of educational provision so that parents can better compare one school with another. We will therefore support the co-existence of a variety of schools - comprehensive, grammar, secondary modern, voluntary controlled and aided, independent, sixth form and tertiary colleges as well as the reasonable rights of schools to retain their sixth forms, all of which will give parents greater choice and lead to higher standards.","Already two have been announced and support for more has been pledged by industrial sponsors. We will expand the Assisted Places Scheme to 35,000."
10002491,Those schools which opt out of LEA control will receive a full grant direct from the Department of Education and Science.,1,FALSE,10002491,"Fourth, we will allow state schools to opt out of LEA control. If, in a particular school, parents and governing bodies wish to become independent of the LEA, they will be given the choice to do so.","They would become independent charitable trusts. In the area covered by the Inner London Education Authority, where entire borough councils wish to become independent of the LEA, they will be able to submit proposals to the Secretary of State requesting permission to take over the provision of education within their boundaries."
10002501,They would become independent charitable trusts.,1,FALSE,10002501,"If, in a particular school, parents and governing bodies wish to become independent of the LEA, they will be given the choice to do so. Those schools which opt out of LEA control will receive a full grant direct from the Department of Education and Science.","In the area covered by the Inner London Education Authority, where entire borough councils wish to become independent of the LEA, they will be able to submit proposals to the Secretary of State requesting permission to take over the provision of education within their boundaries. Village Schools. We recognise the important contribution made by small rural primary schools to education and to the community life of our villages."
10002531,"We will ensure, therefore, that the future of these schools is judged by wider factors than merely the number of pupils attending them.",0,FALSE,10002531,"In the area covered by the Inner London Education Authority, where entire borough councils wish to become independent of the LEA, they will be able to submit proposals to the Secretary of State requesting permission to take over the provision of education within their boundaries. Village Schools. We recognise the important contribution made by small rural primary schools to education and to the community life of our villages.","Pre-School Education. Eighty per cent of all three- and four-year-olds in this country attend nursery classes, reception classes or playgroups. Formal nursery education is not necessarily the most appropriate experience for children."
10002801,The purpose of the review is to improve the overall prospects of students so that more are encouraged to enter higher education.,-1,FALSE,10002801,As part of our aim to widen access to higher education we have begun a review of student support which is the most generous in the western world. We need to modernise this system which has not changed for 25 years.,"No final conclusions have been reached, but we believe that top-up loans to supplement grants are one way, among others, of bringing in new finance to help students and relieve pressure on their parents. We will take care to ensure that the best aspects of the present system are retained in any new proposals which we bring forward."
10003961,We will improve the Community Programme to make it full-time and better able to help those with families.,-1,FALSE,10003961,"Under our Community Programme, each year over 300,000 people who have been out of work for some time gain valuable experience working on community projects. They have a reference to show potential employers.","We shall pay those working on the programme an allowance giving a premium over and above their social security payments. Under the Enterprise Allowance Scheme, 230,000 unemployed people have started to work for themselves."
10004161,"We will of course continue to protect other young people, such as those who suffer from disabilities.",-1,FALSE,10004161,YTS will serve as a bridge between school and work. We will take steps to ensure that those under 18 who deliberately choose to remain unemployed are not eligible for benefit.,"The Second Guarantee. There are still too many young people without the right qualifications for employment in today's world. Within a year we aim to guarantee a place, either on the Job Training Scheme or on the Enterprise Allowance Scheme or in a JobClub, for everyone aged between 1 8 and 25 years who has been unemployed for between six and twelve months."
10004861,It also contains stringent new powers to investigate insider dealing which was first made a criminal offence by the Conservative Government in 1980.,1,FALSE,10004861,The Insolvency Act of 1985 made it easier to disqualify directors who had been guilty of unlawful trading. And now the Financial Services Act of 1986 provides the first comprehensive system of investor protection we have had in this country.,The Conservative Party is the party of law and order. That applies just as much to City fraud as to street crime.
10004871,The Conservative Party is the party of law and order.,1,FALSE,10004871,And now the Financial Services Act of 1986 provides the first comprehensive system of investor protection we have had in this country. It also contains stringent new powers to investigate insider dealing which was first made a criminal offence by the Conservative Government in 1980.,That applies just as much to City fraud as to street crime. Parliament has just approved our proposals for establishing a Serious Fraud Office to improve the work of investigating and prosecuting the worst cases of fraud and for streamlining court procedure.
10005881,"These extra staff have enabled the NHS to treat 6 million more patient cases - in-patients, day cases, out-patients than when we took office.",-1,FALSE,10005881,"Money is important, but the success of the NHS depends still more on the dedication of the people working in it. There are over 75,000 more doctors, dentists and nurses than in 1978.",Sometimes they work in very difficult conditions. That is why the Government has reduced nurses' basic hours from 40 to 37 1/2 hours per week and increased their pay by 30 per cent after allowing for inflation.
10005961,Screening for cervical cancer has been improved and death rates from the disease have fallen by almost 10 per cent in the past decade.,-1,FALSE,10005961,The improvement of the maternity services has helped to reduce by a third the death rate among babies in the weeks around birth. The expansion of vaccination and immunisation has prevented illness and death among children.,"We have already embarked on a major campaign to tackle the problem of coronary heart disease. To fight AIDS, the Government has undertaken the biggest health education campaign ever seen in this country one much admired abroad and is fully supporting the Medical Research Council in a special programme of research towards treatments and vaccines."
10006001,"In the next Parliament, we will build on this work by: completing the network of computerised 'call and recall' systems for cervical cancer screening, and extending them to younger women",-1,FALSE,10006001,"To fight AIDS, the Government has undertaken the biggest health education campaign ever seen in this country one much admired abroad and is fully supporting the Medical Research Council in a special programme of research towards treatments and vaccines. These are welcome advances.",developing a national programme for breast cancer screening backing the newly established and powerful Health Education Authority.
10006121,We have already increased the number of consultant posts and we will continue to work for improvements in the medical career structure.,-1,FALSE,10006121,"We are particularly keen to attract experienced nurses back into the profession, and to encourage others to take up nursing as a new career. Hospital doctors and consultants, too, are a vital part of the Health Service.","The NHS could not function without ancillary services. Some of these cleaning, catering, and laundry have been put out to competitive tender to enable health authorities to select the best and most effective way of providing these services."
10006201,"We shall continue to look for new ways of helping them and improving health care, especially primary care in the inner cities.",0,FALSE,10006201,There are particular problems affecting health care in inner cities. Doctors and nurses there take on a particularly tough and difficult job.,"Our third principle is to modernise the whole framework of the health service its hospitals, its clinics, its equipment. In the face of economic collapse, the last Labour Government cut the hospital building programme by a third."
10006271,"New hospitals, too, are being built in areas lacking the provision they need.",0,FALSE,10006271,"In seven years we have already carried through over 200 major building projects from start to finish. We will complete some 125 further major new building schemes in the next three years, and get many more under way.","Old and inefficient Victorian buildings are being replaced with purpose-built modern hospitals. Much modern medicine and surgery is better carried out in the new larger hospitals, equipped with new medical technology."
10006471,We will continue to ensure that the Health Service is as efficient as possible.,0,FALSE,10006471,"The reduction of waste and inefficiency has released hundreds of millions of pounds for better patient care. The sale of property which the NHS no longer needs - for example, because of new hospital developments is currently raising &lt;U+00A3&gt;200 million a year for better health care.",But good management is not just a matter of efficiency. We value enterprise in the public service just as much as in the private sector.
10006531,The Government has given priority to reducing waiting lists and times.,-1,FALSE,10006531,"Finally, the ultimate purpose of the Health Service is to serve the patient: that principle is at the heart of the Government's policy. The time some patients have to wait for treatment is the most widespread concern in the NHS.","We have set up a special £50 million two-year programme. This year it will give treatment to over 100,000 people who are waiting for operations."
10006981,"The amount spent on mobility allowances has been doubled, invalid care allowance extended, the new severe disablement allowance introduced and the invalidity trap abolished.",-1,FALSE,10006981,"Third, to improve the framework of benefits for disabled people. Spending on benefits for disabled people and those suffering long-term sickness has been increased by 72 per cent after inflation to &lt;U+00A3&gt;6 billion.",The introduction of the new disablement premiums will bring an extra &lt;U+00A3&gt;50 million per year to disabled people. We are carrying out a major new survey of the needs of disabled people.
10007001,We are carrying out a major new survey of the needs of disabled people.,-1,FALSE,10007001,"The amount spent on mobility allowances has been doubled, invalid care allowance extended, the new severe disablement allowance introduced and the invalidity trap abolished. The introduction of the new disablement premiums will bring an extra &lt;U+00A3&gt;50 million per year to disabled people.","This will be completed next year. Fourth, to reform the tangled web of income-related benefits which has grown up piecemeal over forty years."
10007111,"Freedom, Law and Responsibility. Conservatives have always believed that a fundamental purpose of government is to protect the security of the citizen under the rule of law.",1,TRUE,10007111,"Labour's economic failure led to damaging cuts in health care and benefits. Our increasing economic strength means that resources for care have grown and are growing - with programmes better managed, better adapted to changing demands, and better directed to those most in need.","There can be no half-heartedness, no opting out, in the fight against crime and violence: all of us, not just the Government or the police, share a responsibility to make safer our streets and homes. The Fight Against Crime. We do not underrate the challenge."
10007121,"There can be no half-heartedness, no opting out, in the fight against crime and violence: all of us, not just the Government or the police, share a responsibility to make safer our streets and homes.",1,TRUE,10007121,"Our increasing economic strength means that resources for care have grown and are growing - with programmes better managed, better adapted to changing demands, and better directed to those most in need. Freedom, Law and Responsibility. Conservatives have always believed that a fundamental purpose of government is to protect the security of the citizen under the rule of law.",The Fight Against Crime. We do not underrate the challenge. Crime has been rising steadily over the years
10007171,in schools where discipline is poor,1,FALSE,10007171,"not just in Britain but in most other countries, too. The origins of crime lie deep in society: in families where parents do not support or control their children",and in the wider world where violence is glamorised and traditional values are under attack. Government alone cannot tackle such deep-rooted problems easily or quickly.
10007181,and in the wider world where violence is glamorised and traditional values are under attack.,1,FALSE,10007181,The origins of crime lie deep in society: in families where parents do not support or control their children in schools where discipline is poor,"Government alone cannot tackle such deep-rooted problems easily or quickly. But Government must give a lead: by backing, not attacking the police"
10007201,"But Government must give a lead: by backing, not attacking the police",1,TRUE,10007201,and in the wider world where violence is glamorised and traditional values are under attack. Government alone cannot tackle such deep-rooted problems easily or quickly.,by providing a tough legal framework for sentencing by building the prisons in which to place those who pose a threat to society - and by keeping out of prison those who do not
10007211,by providing a tough legal framework for sentencing,1,TRUE,10007211,"Government alone cannot tackle such deep-rooted problems easily or quickly. But Government must give a lead: by backing, not attacking the police",by building the prisons in which to place those who pose a threat to society - and by keeping out of prison those who do not and by encouraging local communities to prevent crime and to help the police detect it.
10007221,by building the prisons in which to place those who pose a threat to society - and by keeping out of prison those who do not,1,TRUE,10007221,"But Government must give a lead: by backing, not attacking the police by providing a tough legal framework for sentencing",and by encouraging local communities to prevent crime and to help the police detect it. All this we have done
10007231,and by encouraging local communities to prevent crime and to help the police detect it.,-1,FALSE,10007231,by providing a tough legal framework for sentencing by building the prisons in which to place those who pose a threat to society - and by keeping out of prison those who do not,All this we have done and we will intensify these efforts.
10007241,All this we have done,1,FALSE,10007241,by building the prisons in which to place those who pose a threat to society - and by keeping out of prison those who do not and by encouraging local communities to prevent crime and to help the police detect it.,"and we will intensify these efforts. The manpower available to the police has been increased by 16,500 since 1979."
10007251,and we will intensify these efforts.,1,FALSE,10007251,and by encouraging local communities to prevent crime and to help the police detect it. All this we have done,"The manpower available to the police has been increased by 16,500 since 1979. We have given the police more powers to avert public disorder."
10007261,"The manpower available to the police has been increased by 16,500 since 1979.",1,FALSE,10007261,All this we have done and we will intensify these efforts.,We have given the police more powers to avert public disorder. We have encouraged tougher sentences for violent criminals.
10007271,We have given the police more powers to avert public disorder.,1,TRUE,10007271,"and we will intensify these efforts. The manpower available to the police has been increased by 16,500 since 1979.",We have encouraged tougher sentences for violent criminals. The maximum penalties for trafficking in hard drugs and for attempted rape have been raised to life imprisonment.
10007281,We have encouraged tougher sentences for violent criminals.,1,TRUE,10007281,"The manpower available to the police has been increased by 16,500 since 1979. We have given the police more powers to avert public disorder.",The maximum penalties for trafficking in hard drugs and for attempted rape have been raised to life imprisonment. The courts have been empowered to strip drug traffickers of their profits.
10007291,The maximum penalties for trafficking in hard drugs and for attempted rape have been raised to life imprisonment.,1,TRUE,10007291,We have given the police more powers to avert public disorder. We have encouraged tougher sentences for violent criminals.,The courts have been empowered to strip drug traffickers of their profits. We have brought forward a number of reforms to help tackle child abuse and make it more likely that offenders will be successfully prosecuted.
10007301,The courts have been empowered to strip drug traffickers of their profits.,1,FALSE,10007301,We have encouraged tougher sentences for violent criminals. The maximum penalties for trafficking in hard drugs and for attempted rape have been raised to life imprisonment.,We have brought forward a number of reforms to help tackle child abuse and make it more likely that offenders will be successfully prosecuted. We have embarked on the biggest prison building and modernisation programme this century and increased staff numbers by almost a fifth.
10007311,We have brought forward a number of reforms to help tackle child abuse and make it more likely that offenders will be successfully prosecuted.,1,FALSE,10007311,The maximum penalties for trafficking in hard drugs and for attempted rape have been raised to life imprisonment. The courts have been empowered to strip drug traffickers of their profits.,We have embarked on the biggest prison building and modernisation programme this century and increased staff numbers by almost a fifth. Care for the Innocent. At the same time we have extended protection for innocent people and for the victims of crime.
10007321,We have embarked on the biggest prison building and modernisation programme this century and increased staff numbers by almost a fifth.,1,TRUE,10007321,The courts have been empowered to strip drug traffickers of their profits. We have brought forward a number of reforms to help tackle child abuse and make it more likely that offenders will be successfully prosecuted.,"Care for the Innocent. At the same time we have extended protection for innocent people and for the victims of crime. We have strengthened the safeguards against any abuse of police power by setting up an independent police Complaints Authority, providing for the tape-recording of police interviews and setting down clear rules on the proper treatment of the individual citizen."
10007331,Care for the Innocent. At the same time we have extended protection for innocent people and for the victims of crime.,-1,FALSE,10007331,We have brought forward a number of reforms to help tackle child abuse and make it more likely that offenders will be successfully prosecuted. We have embarked on the biggest prison building and modernisation programme this century and increased staff numbers by almost a fifth.,"We have strengthened the safeguards against any abuse of police power by setting up an independent police Complaints Authority, providing for the tape-recording of police interviews and setting down clear rules on the proper treatment of the individual citizen. We have given special priority to helping the victims of crime."
10007361,Police treatment of rape victims has been made more sensitive.,-1,FALSE,10007361,"We have strengthened the safeguards against any abuse of police power by setting up an independent police Complaints Authority, providing for the tape-recording of police interviews and setting down clear rules on the proper treatment of the individual citizen. We have given special priority to helping the victims of crime.",More criminals now pay compensation to their victims. We are providing more money to help local Victim Support Schemes.
10007371,More criminals now pay compensation to their victims.,1,FALSE,10007371,We have given special priority to helping the victims of crime. Police treatment of rape victims has been made more sensitive.,We are providing more money to help local Victim Support Schemes. We have launched a determined drive to improve the administration of justice by providing for time limits by which the cases of those held in custody must be heard.
10007381,We are providing more money to help local Victim Support Schemes.,-1,FALSE,10007381,Police treatment of rape victims has been made more sensitive. More criminals now pay compensation to their victims.,We have launched a determined drive to improve the administration of justice by providing for time limits by which the cases of those held in custody must be heard. 58 more Circuit Judges have been appointed and 43 court building projects have been completed.
10007391,We have launched a determined drive to improve the administration of justice by providing for time limits by which the cases of those held in custody must be heard.,1,FALSE,10007391,More criminals now pay compensation to their victims. We are providing more money to help local Victim Support Schemes.,58 more Circuit Judges have been appointed and 43 court building projects have been completed. Better Justice. The challenge before us remains great
10007431,The great majority of those who commit serious crimes of violence are brought to book.,1,TRUE,10007431,Better Justice. The challenge before us remains great but much has been done.,"There are more police, better equipped to fight crime. Those who commit serious crimes can now expect much tougher punishment."
10007441,"There are more police, better equipped to fight crime.",1,TRUE,10007441,but much has been done. The great majority of those who commit serious crimes of violence are brought to book.,Those who commit serious crimes can now expect much tougher punishment. Early in the new Parliament the Criminal Justice Bill will have to be reintroduced.
10007451,Those who commit serious crimes can now expect much tougher punishment.,1,TRUE,10007451,"The great majority of those who commit serious crimes of violence are brought to book. There are more police, better equipped to fight crime.",Early in the new Parliament the Criminal Justice Bill will have to be reintroduced. It will: enable child victims of physical and sexual abuse to give evidence by a live video link n order to reduce the anguish which they would otherwise face
10007461,Early in the new Parliament the Criminal Justice Bill will have to be reintroduced.,1,FALSE,10007461,"There are more police, better equipped to fight crime. Those who commit serious crimes can now expect much tougher punishment.",It will: enable child victims of physical and sexual abuse to give evidence by a live video link n order to reduce the anguish which they would otherwise face raise to life imprisonment the penalty for carrying firearms while committing a crime
10007471,It will: enable child victims of physical and sexual abuse to give evidence by a live video link n order to reduce the anguish which they would otherwise face,0,FALSE,10007471,Those who commit serious crimes can now expect much tougher punishment. Early in the new Parliament the Criminal Justice Bill will have to be reintroduced.,"raise to life imprisonment the penalty for carrying firearms while committing a crime tackle, by providing for reference to the Court of Appeal, the problem of lenient sentences which undermine public confidence in the criminal justice system"
10007481,raise to life imprisonment the penalty for carrying firearms while committing a crime,1,TRUE,10007481,Early in the new Parliament the Criminal Justice Bill will have to be reintroduced. It will: enable child victims of physical and sexual abuse to give evidence by a live video link n order to reduce the anguish which they would otherwise face,"tackle, by providing for reference to the Court of Appeal, the problem of lenient sentences which undermine public confidence in the criminal justice system give victims of crime a statutory right to compensation under the Criminal Injuries Compensation Scheme"
10007491,"tackle, by providing for reference to the Court of Appeal, the problem of lenient sentences which undermine public confidence in the criminal justice system",1,TRUE,10007491,It will: enable child victims of physical and sexual abuse to give evidence by a live video link n order to reduce the anguish which they would otherwise face raise to life imprisonment the penalty for carrying firearms while committing a crime,give victims of crime a statutory right to compensation under the Criminal Injuries Compensation Scheme build on our previous measures stripping drug traffickers of the proceeds of their crimes and extend the same approach to other serious crimes.
10007501,give victims of crime a statutory right to compensation under the Criminal Injuries Compensation Scheme,1,FALSE,10007501,"raise to life imprisonment the penalty for carrying firearms while committing a crime tackle, by providing for reference to the Court of Appeal, the problem of lenient sentences which undermine public confidence in the criminal justice system",build on our previous measures stripping drug traffickers of the proceeds of their crimes and extend the same approach to other serious crimes. We have already signed an extradition treaty with the United States which will make it more difficult for terrorists to escape British justice: now we will reform our own law on extradition so as to make still more effective the international war against crime.
10007511,build on our previous measures stripping drug traffickers of the proceeds of their crimes and extend the same approach to other serious crimes.,1,TRUE,10007511,"tackle, by providing for reference to the Court of Appeal, the problem of lenient sentences which undermine public confidence in the criminal justice system give victims of crime a statutory right to compensation under the Criminal Injuries Compensation Scheme","We have already signed an extradition treaty with the United States which will make it more difficult for terrorists to escape British justice: now we will reform our own law on extradition so as to make still more effective the international war against crime. Building on Strength. We will continue to put a high priority on the fight against crime, so that the citizen can feel safe on the street or in his home."
10007521,We have already signed an extradition treaty with the United States which will make it more difficult for terrorists to escape British justice: now we will reform our own law on extradition so as to make still more effective the international war against crime.,1,FALSE,10007521,give victims of crime a statutory right to compensation under the Criminal Injuries Compensation Scheme build on our previous measures stripping drug traffickers of the proceeds of their crimes and extend the same approach to other serious crimes.,"Building on Strength. We will continue to put a high priority on the fight against crime, so that the citizen can feel safe on the street or in his home. We will: increase the number of police further to ensure a stronger police presence on our streets, to combat crime and to protect the public"
10007531,"Building on Strength. We will continue to put a high priority on the fight against crime, so that the citizen can feel safe on the street or in his home.",1,TRUE,10007531,build on our previous measures stripping drug traffickers of the proceeds of their crimes and extend the same approach to other serious crimes. We have already signed an extradition treaty with the United States which will make it more difficult for terrorists to escape British justice: now we will reform our own law on extradition so as to make still more effective the international war against crime.,"We will: increase the number of police further to ensure a stronger police presence on our streets, to combat crime and to protect the public strengthen the law dealing with the sale and possession of offensive weapons"
10007541,"We will: increase the number of police further to ensure a stronger police presence on our streets, to combat crime and to protect the public",1,TRUE,10007541,"We have already signed an extradition treaty with the United States which will make it more difficult for terrorists to escape British justice: now we will reform our own law on extradition so as to make still more effective the international war against crime. Building on Strength. We will continue to put a high priority on the fight against crime, so that the citizen can feel safe on the street or in his home.",strengthen the law dealing with the sale and possession of offensive weapons maintain the operational independence of the police and resist pressure from the Opposition parties to politicise the police by letting local authorities decide policing priorities
10007551,strengthen the law dealing with the sale and possession of offensive weapons,1,TRUE,10007551,"Building on Strength. We will continue to put a high priority on the fight against crime, so that the citizen can feel safe on the street or in his home. We will: increase the number of police further to ensure a stronger police presence on our streets, to combat crime and to protect the public",maintain the operational independence of the police and resist pressure from the Opposition parties to politicise the police by letting local authorities decide policing priorities continue our present prison building programme and achieve more professional and efficient working practices in the prison service
10007561,maintain the operational independence of the police and resist pressure from the Opposition parties to politicise the police by letting local authorities decide policing priorities,1,FALSE,10007561,"We will: increase the number of police further to ensure a stronger police presence on our streets, to combat crime and to protect the public strengthen the law dealing with the sale and possession of offensive weapons",continue our present prison building programme and achieve more professional and efficient working practices in the prison service institute a thorough review of the workings of the parole system.
10007571,continue our present prison building programme and achieve more professional and efficient working practices in the prison service,1,FALSE,10007571,strengthen the law dealing with the sale and possession of offensive weapons maintain the operational independence of the police and resist pressure from the Opposition parties to politicise the police by letting local authorities decide policing priorities,institute a thorough review of the workings of the parole system. Our approach in all these cases is strongly supported by the general public.
10007581,institute a thorough review of the workings of the parole system.,0,FALSE,10007581,maintain the operational independence of the police and resist pressure from the Opposition parties to politicise the police by letting local authorities decide policing priorities continue our present prison building programme and achieve more professional and efficient working practices in the prison service,Our approach in all these cases is strongly supported by the general public. We will go further in drawing on that support by promoting crime prevention.
10007601,We will go further in drawing on that support by promoting crime prevention.,1,FALSE,10007601,institute a thorough review of the workings of the parole system. Our approach in all these cases is strongly supported by the general public.,"Already more than 29,000 Neighbourhood Watch Schemes have sprung up since the last Election. We are committed to the success of this popular anti-crime movement."
10007611,"Already more than 29,000 Neighbourhood Watch Schemes have sprung up since the last Election.",1,FALSE,10007611,Our approach in all these cases is strongly supported by the general public. We will go further in drawing on that support by promoting crime prevention.,We are committed to the success of this popular anti-crime movement. We will build on the support of the public by establishing a national organisation to promote the best practices in local crime prevention initiatives.
10007621,We are committed to the success of this popular anti-crime movement.,1,FALSE,10007621,"We will go further in drawing on that support by promoting crime prevention. Already more than 29,000 Neighbourhood Watch Schemes have sprung up since the last Election.",We will build on the support of the public by establishing a national organisation to promote the best practices in local crime prevention initiatives. We will seek ways to strengthen the special constabulary.
10007641,We will seek ways to strengthen the special constabulary.,1,FALSE,10007641,We are committed to the success of this popular anti-crime movement. We will build on the support of the public by establishing a national organisation to promote the best practices in local crime prevention initiatives.,Tackling Drug Abuse. We have taken the battle against drugs into every corner of the globe where production or trafficking flourishes. We have more than doubled the number of customs specialist drug investigators.
