uid,text,label,metadata__row_number
1174,#utdebates really liking @JennyWilsonUT <U+0001F60D><U+0001F495><U+0001F495>,0,1174
911,(2/3): Paul Ryan and Mitch McConnell have both said they want cuts to Medicare and Social Security to pay for their tax law. https://t.co/bXuTac0Heq,0,911
1066,. @braun4indiana on Donnelly: “He never sticks his neck out. He blows with the wind.” #INSEN,0,1066
324,.<U+2066>@JohnKerry<U+2069>’s arrogance and repeated attempts to undermine this administration by salvaging the #IranDeal are striking. The deal was sold to Americans based on a pack of lies and deception. The President’s decision to withdraw was correct. https://t.co/QN3KQanmE1,1,324
3,.@BetsyDevosED plan to rescind the “gainful employment” rules is another step in the Trump Admin’s long pattern of putting for-profit colleges ahead of students. We must put students first so they can find good-paying jobs and pay back student loans. https://t.co/BWZFvOHElW,1,3
444,".@DebFischerNE took $120,000 from pharma and health insurance corporations then repaid them by voting to send Nebraskan health care premiums sky-high. That's corruption and she should give that money back.#nesen",1,444
403,".@Forbes: ""China has turned off the U.S. oil spigot."" First our soybeans, now our oil. When will @kevincramer put self-promoting politics aside and stand up for North Dakota against this trade war?

https://t.co/MFMOagHx78",1,403
350,".@GOP leaders insist that everyone is benefiting from their tax scam.

Reality looks a little different.

https://t.co/ethE4YGK8S",1,350
487,.@Google I will not be silenced.  #StopTheBias,0,487
926,.@HillsFireRescue  @TampaFireRescue and @StPeteFR here in Bay County making up Urban Search and Rescue #TaskForce3. I can’t thank you enough for the sacrifices you make to help these communities after #HurricaneMichael #850Strong https://t.co/sEshx1kB4W,0,926
160,.@JonTester and his out-of-state allies are trying to SUPPRESS your vote with their illegal dark money mailers. Don't let them win! GO VOTE! https://t.co/tJvpMelo6j #mtsen #mtpol,1,160
453,.@JonTester keeps talking about the need to secure our borders but he OPPOSED enhanced vetting for un-vetted refugees coming into our nation. We must secure our borders! #MAGA #AmericaFirst #DefeatTester #mtsen #mtpol https://t.co/xiaudnughS,1,453
452,.@JonTester said he was opposed to government shutdowns yet he shut down the government earlier this year to try and grant amnesty to illegal immigrants. #TwoFacedTester #MAGA #mtsen #mtpol https://t.co/6B15sehQvo,1,452
451,".@JonTester talks about cutting spending. He increased the debt ceiling 11X. Under his watch, the national debt increased from $8 trillion to $21 trillion. #mtsen #mtpol",1,451
595,.@JonTester's lies don't get anymore desperate than this ... Pretending he's a hunter when he hasn't held a hunting license in SIX YEARS! Enough already! #TwoFacedTester #DefeatTester #mtsen #mtpol https://t.co/uCtZTh6lsY,0,595
398,".@KevinCramer supports lawsuits and legislation to take away patient protections for North Dakotans with pre-existing conditions, I know how scary that is. I’ll keep fighting like hell to preserve those protections.",1,398
571,".@MariaCantwell not too busy with that Senate schedule? Cantwell claims her “busy” schedule is why she can’t debate or face voters, but here she is. Exposed as a fraud. @TheNewsTribune #waelex #WAsen https://t.co/8Zp7LaZovk",0,571
728,.@OpBBQRelief is helping out in Bay County. They’ve served 300 000 meals so far following Hurricane Michael. Great job! https://t.co/uokDuZLqFq,1,728
984,".@POTUS @realDonaldTrump has endorsed me for Senate  but in order to win  I need your endorsement as well!

Stand with President Trump and help support our campaign today <U+2192> https://t.co/WzCzmb1O0R",0,984
49,.@RandPaul:The modern world is an enormous world of medicine &amp; science. We’re crazy to stop it at the border &amp; say no you have to Americanize all the studies. I think the scientific community already is very international. It’s just the governments have decided to segment it off. https://t.co/Ku0y4FbPM2,0,49
977,.@RepJimRenacci has a long record of voting for unfair trade agreements and policies that put Ohio workers at a disadvantage. #OHSenDebate https://t.co/zUq5uuryH9,1,977
709,".@RepJimRenacci: ""We have an immigration system that's broken. It's Congress' fault."" https://t.co/0uCXuZh3Rv",1,709
32,.@RichCordray is a fighter for hardworking Ohioans. I’m proud to be on Team Cordray-Sutton—especially tonight. https://t.co/g2u9FSmCMJ,0,32
336,".@SenDonnelly says he’s in the middle, but he’s not.  He votes with Schumer, endorsed Hillary, and now he's standing with the extreme left against Judge Kavanaugh.

That’s not common sense. It’s just another career politician who will say anything to keep his job. #INSen https://t.co/fBmoimcXS5",1,336
64,".@SenWhitehouse attacked the very legitimacy of the Supreme Court, accusing the justices of being little more than politicians in robes. His attempt to politicize our justice system is deeply damaging to one of our most respected institutions https://t.co/IjAYKNyOqQ @DanYorkeShow",0,64
716,".@SenatorWicker voted to cut taxes for his super wealthy donors  while promising it would pay for itself. Now they are coming for your health care and social security to pay for it

Mississippians shouldn’t be footing the bill for Trumps rich friends #BariaForMississippi #mssen",0,716
543,.@clairecmc and the Democrats have reached a new low. She thinks my 5-yr old son’s medical condition is a lie and called him a prop. Sick. #MOSen https://t.co/Psl19VhRqG,0,543
925,.@clairecmc calls Bernie Sanders &amp  Elizabeth Warren “crazy Democrats” - but she takes their money &amp  asks for their support! Oops #MoSen https://t.co/HXZJbr1GmR,0,925
76,.@clairecmc caught on tape again.... #MOSen https://t.co/CPYJA63JHQ,0,76
385,".@clairecmc doesn't support asking a citizenship question on the 2020 Census. She wants open borders and sanctuary cities. I don’t know who she thinks she’s representing, but it sure as heck isn’t the state of Missouri. #MOSen https://t.co/2IUYK0gSuB",1,385
388,.@clairecmc not waiting to hear from Judge Kavanaugh — already voting NO. So much for independence #MOSen https://t.co/AHRc6OglNo,1,388
390,".@clairecmc pick for president, Hillary Clinton, endorses Dem smear campaign and says attacks on conservatives justified to regain power. That’s what this election is about, right there #mosen https://t.co/wJ3dj2cdJY",1,390
550,".@clairecmc says she’s not a “crazy Democrat.” Not sure who she’s trying to insult there, but she is certainly a LIBERAL Democrat. As yesterday’s debate made clear! #MOSEN https://t.co/5QCFbZRb92",0,550
75,.@clairecmc talks candidly ... about writing off Missouri voters. Sad. #MOSen https://t.co/1omQlzh0hc,0,75
542,".@clairecmc talks down rural voters but has her hand out to Hollywood. Takes $627,051 from Hollywood people! Tells you all you need to know #MOSen https://t.co/CrqtcsFCBc",0,542
73,.@clairecmc telling a voter that “you can’t take anything from a lobbyist” — but she is the NUMBER ONE taker of lobbyist &amp; lawyer $$ in Congress. Number one. Oops. https://t.co/SrC2KyDOoH,1,73
540,".@clairecmc voted NO today on advancing Kavanaugh nomination. But she was a big YES for the Kavanaugh smear campaign. Shameful. For Dems, it’s Year of the Smear. #MOSen",0,540
1136,".@realDonaldTrump: ""He's going to fight for you like nobody has ever fought for the people of West Virginia... Patrick Morrisey is truly a vote to Make America Great Again."" #WVsen https://t.co/k4wwsYAKGM",0,1136
239,".@senatorcarper has been in office for nearly two decades, but he still cannot point to a single reason why he should be re-elected. #RetireCarper #VoteRobArlett",0,239
303,".@senatorcarper has served the people of Delaware for decades. Yet, the lives of Delawareans have not improved.

Why should we continue to elect someone who has failed our state year after year? #RetireCarper #VoteRobArlett",1,303
473,.@senatorcarper is a typical career political. It’s time to send him into retirement on November 6th. #RetireCarper #VoteRobArlett,0,473
245,".@senatorcarper is backed by big pharmaceutical companies. I am backed by the average Delawarean. When you are in the voting booth on November 6th, think hard about who has your best interests in mind. #WeAreDelaware #VoteRobArlett",0,245
244,".@senatorcarper loves to play partisan politics. As your next Senator, I will put partisan politics aside and work with anyone who wants to move America and Delaware forward. #RetireCarper #VoteRobArlett",0,244
208,".@senatorcarper puts Washington D.C first. I will put the First State First. 

Here’s my plan ---&gt; 
 https://t.co/xxokVJDhP3",0,208
829,.@timkaine’s “Energetic activism” https://t.co/v5jffWQUPo,0,829
430,1. Truly repugnant to see the Trump Administration double down on rejecting our foundational values &amp; drastically decrease the number of refugees we accept. This rejects our humanitarian duty of providing those escaping persecution the opportunity to seek protection &amp; safe haven,1,430
1023,1.5 million people in Connecticut have a pre-existing condition. Nearly every one of us knows someone who has had cancer  or high blood pressure  or asthma. If these protections are taken away  it's going to hurt all of us.,0,1023
737,"1/5. As a life-long advocate for racial justice  equal rights under the law  and opportunity for all  I will #VoteNoOnKavanaugh and fight back against the Trump Administration’s every effort to turn back on the clock on civil rights.  #WhatsAtStake

https://t.co/gBjLZNB50k",1,737
450,"12 years ago, #TwoFacedTester said he won't cut deals with K-Street Lobbyists ... Then he becomes one of the TOP recipients of lobbyist cash in the ENTIRE U.S. Congress. #DefeatTester #MAGA #mtsen #mtpol https://t.co/HvPAK7xku1",1,450
721,16 years in the swamp shows. It's time for some fresh air up in Washington. https://t.co/cL4Aw9j8Hk,0,721
1051,17 years ago. #NeverForget,0,1051
413,"18 years ago Cantwell promised to make #SocialSecurity SECURE. She failed, and now is using fear tactics to blame opponents instead of herself. I will NEVER take Social Security away from our seniors! Vote #Susan4Senate TODAY! #WAsen #waelex #CantwellCant https://t.co/Ee6mqD0SaM",1,413
481,"18 years ago, @senatorcarper said it was time for a generational change. Well Mr. Carper, you are about to be retired because Delaware is ready for another generational change.

RT if you agree!

#VoteRobArlett #WeAreDelaware",0,481
965,"2006: @Stabenow: ""I have supported every single effort to support our troops.”

2007: Stabenow votes against emergency funding for our troops in Iraq - I know because I WAS THERE 

2018: Why should we believe you this time  Sen. Stabenow? #MISen #LetsFlyMI #MISenDebate  <U+0001F985><U+0001F1FA><U+0001F1F8> https://t.co/GCcCupp5xr",1,965
1029,24 000 American women are diagnosed with breast cancer every year. That’s why we keep fighting for more research. We’ve seen treatment come a long way in the 20 years since we established the Breast Cancer Research Stamp. Lower your risk and get screened. https://t.co/w3fbq5zpOW,0,1029
431,"4. For decades, refugee resettlement was a bipartisan point of pride. I call on Republicans to join us in demanding the reversal of this decision, and put forth refugee policies that not only reflect our fundamental values, but also serve our humanitarian &amp; strategic interests.",1,431
293,43-yr politician @Stabenow has made nearly $4 million off the taxpayers &amp; only sponsored 5 successful bills. MI deserves better. I'm living the American Dream &amp; I will protect that Dream for future generations. Fuel our fight&gt; https://t.co/PALJGbwRjz &lt;#LetsFlyMI #TeamJohnJames https://t.co/JI6vXPMAN0,1,293
474,"95 percent of U.S. manufacturers are optimistic about the future, the highest ever. 

Delaware falls short thanks to the anti-business policies of @senatorcarper and the loss of 32% of our manufacturing jobs since he has been in the Senate. #RetireCarper #VoteRobArlett",0,474
898,"9:51AM: Knocking doors this morning in Stansbury Park with Senate 17 candidate Mike Keil! Today is the last day to postmark your ballot. 

#CountdownTour<U+23F0> https://t.co/YWZftw0hyB",0,898
772,<U+0001F440> https://t.co/JjdOmOsPPc,0,772
198,<U+0001F447><U+0001F3FC>Let’s start with healthcare. https://t.co/WB8Zujqodx,0,198
997,<U+0001F447><U+0001F447><U+0001F447> https://t.co/OqI7ovrsMT,0,997
964,"<U+0001F50A> The champs have found an anthem. 

(<U+0001F4F7>: brock_holt) https://t.co/i8x0MuU1PH",0,964
762,"<U+0001F5E3><U+FE0F> CUE ROCKY TOP <U+0001F50A> 

#VOLS. WIN. https://t.co/u7rNJsNEAR",0,762
1163,<U+0001F6A8> MASSACHUSETTS: Today is the LAST DAY you can vote early in the 2018 midterm election! Don’t wait another second to cast your vote! Find out where: https://t.co/lsQp8VVgKG https://t.co/UlSGtBkDbY,0,1163
99,"<U+0001F6A8> VIRGINIANS:

Please take all precautions as Hurricane Florence approaches.

FOLLOW: @VDEM for emergency updates.

VISIT: https://t.co/v6IYVxaj9v for more information.

A federal emergency declaration has been made, and efforts are underway to prepare for this dangerous storm.",0,99
98,"<U+0001F6A8>CALL TO ACTION<U+0001F6A8> 
If you've already voted, your job is not finished. We need our co-pilots to turn out the vote! Reach out to your circles, and share our message! Polls close at 8 PM! #LetsFlyMI #MISen #ElectionDay https://t.co/rusCiSejcr",0,98
1178,<U+2069>Max and I had a great time at the Alcorn State Homecoming game today. Thank you President Donald Lee <U+2066><U+2066>@AlcornStateU for your hospitality! Go Braves! https://t.co/pKNGo4Uuew,0,1178
63,<U+2708><U+FE0F> <U+2708><U+FE0F> <U+2708><U+FE0F> The #FAA Reauthorization Act has passed the Senate. Provisions in this bill will benefit many of our Nebraska airports and help keep our communities connected. Here’s a list of #NE wins: https://t.co/PfEPOSZcR1,0,63
184,@Abenaa46 Thank you!,0,184
944,@Dan_Moran_16 and I knocked over 40 doors this morning for @ChrisMurphyCT and the CT Dems! How many doors are you knocking this weekend?! #FightBackCT https://t.co/kvs3Iqw71O,0,944
766,@ENERGY Texas leads the nation and produces 1/3 of all US crude oil. #TexasFuelsTheWorld https://t.co/RSRO5XOD5n,0,766
778,@Folsom8k It has been a privilege!,0,778
424,"@HawleyMO made a decision. He used your taxpayer money to send lawyers to court to remove protections for Ron’s daughter, with no back up in sight. And now he’s trying to deny it. Missourians won’t be fooled. #HandsOffOurCare https://t.co/3npEvJ2OqL",1,424
195,@JamesRo65230889 Email info@wilsonforsenate.com and we will get you set up!,0,195
865,@JordanHarrold Thank you!,0,865
93,"@OutnumberedFNC @MelissaAFrancis @LisaMarieBoothe @HARRISFAULKNER I'm fired up to share my message of national security, economic opportunity and protecting the American Dream for ALL &gt;&gt; https://t.co/v9bgp9yILO &lt;&lt; #LetsFlyMI",0,93
179,@OversizedFern @timkaine @VP .@TimKaine is just against whatever @realDonaldTrump is for.,0,179
771,@RandPaul says he would rank @SenatorBrakey at the top of his list for senate candidates.,0,771
203,"@RaulRiv37348532 @OverHorizon808 @IngrahamAngle @maziehirono I am not a career politician. I am one of people running to take back our government from special interests, lobbyists, establishment politics, and bad actors. I am running to restore our government to ""of the people, by the people, for the people."" #TruthLightAloha @maziehirono",0,203
143,"@RebeccAgent Thanks, Rebecca. Can you reach out to my team? info (at) https://t.co/zkzHXdXaS5",0,143
785,@ScottMGagnon @SteveCollinsSJ @RepPoliquin @golden4congress You’re right. We’re going to win with a majority on round 1.,0,785
309,"@SenatorCarper ""cares"" about the migrant caravan, when there are children in Wilmington that are malnourished and considered ""Murder Capital USA."" If he cared about our own citizens as much as illegals, DE would look like very different #VoteRobArlett
https://t.co/YP32I8PSVd",1,309
299,"@SenatorCarper says he's fighting for Affordable Healthcare, yet he has done nothing but make costs go through the roof! He has taken over $550,000 from Big Pharma and is a part of the problem, not the solution. Time to #RetireCarper Nov 6th! https://t.co/cxkdnPuFvA",1,299
16,@ThePaulMichaels Looks good! Liked her page.,0,16
460,"@Troy679 @SenatorCarper As we stated noone has better, or cheaper healthcare. Did you read the tweet?",0,460
796,"@TucsonChamber recently began a program to help veterans seek employment in the aerospace and defense industry. It is great to see our local leaders working hard for our vets while bolstering the defense industry pipeline with the most qualified employees.
https://t.co/zuoBYAIZyr",0,796
1158,@Whitbass14 @marilyngster @MittRomney Smh,0,1158
692,@carmelel Aloha. The video is on our website on the videos page. The website has 29 pages. On Android or IOS devices there is a blue drop-down menu bar in the upper right hand corner of the screen. You can get to all pages from that menu bar.,0,692
1028,@dbaria @Notfromhere47 At least the election in November allows us options other than Hyde-Smith and Wicker. Grateful for the opportunity to vote for @dbaria and @espyforsenate to represent our state in the U.S. Senate.,0,1028
491,@dphilton @SenatorCollins I don’t think you know what Constitutional originalism means.,0,491
54,@jakeboneusa @gehrig38 https://t.co/uyflZFfead,0,54
1074,@jennaanneolsen Thank you for having me!,0,1074
833,@marilyngster @MittRomney My response. #BelieveWomen https://t.co/vNkmB7S8kR,0,833
287,@realDonaldTrump Congress should take action to protect these children and their families by passing my Fair Day in Court for Kids Act which would provide legal representation to all unaccompanied children during their immigration court proceedings.,1,287
253,"@thxbutillwalk @TuckerCarlson Who is ""they?""

And if you think @TuckerCarlson is warmongering, you haven't been paying attention.  He's been consistently advocating AGAINST all the new wars Washington DC is trying to push us into.",0,253
730,@timkaine is the Resistance which is now THE DEMOCRATIC MOB!!! https://t.co/9Q7usgH66X,1,730
1052,"A few people suggested that I share these last few paragraphs from the 'Do The Right Thing' page on our website. I shared it on our campaign Facebook page.
#DoTheRightThing #WeThePeople

https://t.co/PBjG7RIJro",0,1052
946,A few years ago  Kalispell community and business leaders approached me with a plan &amp  we were able to secure a $10 million grant to build the Glacier Rail Park. Today we celebrated the grand opening of this new rail park! #mtpol https://t.co/91JtJLOj84,0,946
210,"A five year Buy America standard is better than the status quo, but Speaker Ryan and the House failed to keep President Trump’s promise. I will keep working to make sure that America is buying what Wisconsin makes with a permanent #BuyAmerica standard. https://t.co/DbcV8ikEqG",1,210
140,A great group heading to the polls in south Houston. You can vote today! https://t.co/vv9gMmRwQy,0,140
157,A historic visit from @realDonaldTrump and Montana is going to make history when we DEFEAT TESTER this November! #MAGA #MontanaFirst #DefeatTester #mtsen #mtpol https://t.co/auhUe1S5Z7,0,157
1117,A little break in my day to celebrate this...the biggest Fair in the Country (we don’t count Texas because they are open too long): Minnesota State Fair breaks attendance record  surpasses 2 million for first time https://t.co/KhwnVjfnY1,0,1117
1139,"A lot of the EPA regulations have been rolled back - what is your opinion on these roll backs?

I’m a big believer in the strides the EPA has made over the years &amp  am ashamed of the current administrations actions against the environment 
#mssen #BariaForMississippi",1,1139
1131,A medida que el #HuracanMichael se acerca  los Floridanos en las áreas afectadas deben hacer un plan y tener recursos disponibles. Para obtener una lista de contactos importantes  descargue nuestro folleto de preparación en español aquí: https://t.co/Xy7NPW94Ph,0,1131
951,A new @MarchofDimes report shows that access to maternity care is lacking in large parts of Indiana. Joe supports the bipartisan 'Improving Access to Maternity Care Act ' which would help bring providers to underserved communities. https://t.co/5lE25GbyKq https://t.co/0oGaubLOc8,0,951
816,"A proposed federal grant program will be modeled after Nevada’s in-state #cybersecurity apprenticeship program.
@RepJackyRosen has bi-partisan support for this bill intended to beef up this crucial #Workforce
https://t.co/XqS1ivjzkz via @reviewjournal",0,816
401,"A strong Farm Bill is critical to keeping North Dakota’s economy healthy. We’re working to craft another good bill, but House Republicans are playing politics and trying to cut food assistance. Our grocers are right — that would be wrong for ND.

https://t.co/fq7nS6OFHS",1,401
307,"A vote for @senatorcarper is a vote for higher taxes. We must #RetireCarper on November 6th!
 #WeAreDelaware #VoteRobArlett",1,307
688,About to speak on @DSenFloor about Trump nominee for IRS Commissioner  and why I think he's bad for NJ and bad for our country. https://t.co/DlpMUWa5Jd,0,688
447,"According to @JonTester, lower taxes and bigger paychecks are BAD for Montanans. He voted AGAINST the Trump Tax Cuts. Well, I believe you deserve to KEEP more of your hard-earned money. #DefeatTester #DrainTheSwamp #TwoFacedTester #MAGA #mtsen #mtpol https://t.co/AqAy0coqHL",1,447
689,Affordable child care is out of reach for many  and child care providers are often poorly paid. The Child Care for Working Families Act would cap how much families pay while ensuring workers are being paid a fair wage. This is a bill working families deserve.  #ChildCare4All,1,689
478,"After 42 years in public service, @senatorcarper no longer understands the problems facing Delawareans. Our state needs new ideas &amp; solutions. #RetireCarper #VoteRobArlett

Read my plan: https://t.co/xxokVJDhP3",0,478
1167,"After the series of revolting stunts @TheDemocrats have pulled  I am calling on @timkaine &amp  @MarkWarner to finally do the right thing —

Redeem yourselves by voting YES to #ConfirmKavanaugh!  
. https://t.co/Jt3eKEleIO",1,1167
503,"After working with his liberal colleagues to smear Judge Kavanaugh with 36 year old uncorroborated reports, Hoosiers can now see that @SenDonnelly never intended to support Judge Kavanaugh and has no intention of working with President Trump. #INSen https://t.co/13AXHJnmDG",0,503
775,After you’ve encouraged the people you know to get to the ballot box on Tuesday  you can text bank or phone bank with @LetsMobilizeUS to help turn out other voters in your area  too: https://t.co/SM1O76F7VR,0,775
211,Agreed! Ready to restore sanity and good common sense to our Nation’s Capitol. #BariaForMississippi https://t.co/fuxo5BFGAS,0,211
185,Air Force veteran &amp; House candidate @GinaOrtizJones's GOP opponent is attacking her commitment to national security credentials. Are you kidding me?! Gina fights for military families — chip in &amp; help her flip #TX23: https://t.co/CXZ7vesYIM https://t.co/qJgdvLMdSL,0,185
59,All employees deserve a chance to take meal &amp; rest breaks during their shift. I’ve joined my colleagues to fight industry proposals that would strip this protection from California truck drivers. Everyone on the road benefits when truck drivers are rested. https://t.co/AETMtJURRU,0,59
781,All morning friends and family (many of whom are voting for the first time ever!) are texting to say they voted for @ShireenGhorbani &amp  @JennyWilsonUT!! I am so incredibly happy to see these Womxn fighting for fairness  equality  and justice! #ElectionDay <U+0001F4AA><U+0001F3FB>,0,781
22,"Almost a year has passed since @VoteMarsha said she'd fix the mess her bill created--defanging the DEA, yet nothing has been done. The first bill I'll introduce as Senator will restore the DEA's ability to stop large shipments of opioids from pouring into our communities. https://t.co/fNZUqmyusk",1,22
729,Alright  folks. It's time! Ballots drop THIS WEEK. We need EVERY VOTE to send President Trump the support he needs  and to send @jontester packing! Let's win this! #DefeatTester #MAGA #mtsen #mtpol https://t.co/LiV9DtbyIa,0,729
1076,"Although Trump thinks his administration did a ""fantastic job"" handling the destruction in Puerto Rico  the crisis is far from over. https://t.co/cSE0Mvk6HU",1,1076
1069,Always a pleasure meeting with Dr. Kevin Fitzgerald  Superintendent of the Caesar Rodney School District  but it’s especially exciting when I get to congratulate him on being named @NASStoday's Superintendent of the Year! The First State and its students are lucky to have him https://t.co/0U3mQ2zigF,0,1069
475,Amazing debate. The truth came out tonight! @SenatorCarper is a part of the problem and not the solution. He admitted to abusing his wife and put his donors in front of the citizens. RT this if you agree he should resign immediately! It’s time for the new representation in DE! https://t.co/6QRqUTsnxj,0,475
233,Amazing that our country's economy is booming yet DE is 1 of 2 states that have had a spike in poverty. What a great job @SenatorCarper is doing for the people of our state! 18 years is too much! DE deserve better! Time for a change Nov 6th! #VoteRobArlett https://t.co/1q71TpbLxJ,0,233
700,America #1 Again!  Soars to most competitive economy for first time since 2008. https://t.co/DAaGYDm5Mo,0,700
1065,America is indebted as a democratic nation to the free press for truths it has uncovered  for truth it has disseminated  and for falsehoods it has repudiated. Read more at: https://t.co/gGVCu80cFS,0,1065
533,"America was founded by immigrants. Our current president may be afraid of asylum-seekers and people around the world who are in need, but we are not. Our current president may be fearful, but we are not. Our diversity is a strength, and it always will be.",0,533
310,"Americans want actual affordable healthcare. @senatorcarper and his Washington buddies have done nothing to lower the cost of healthcare during their decades of holding office. 

Here's my plan for healthcare <U+2B07><U+FE0F>
 https://t.co/xxokVJDhP3",1,310
316,America’s top health care experts and patient groups agree: Trump’s expansion of junk insurance plans will leave people without the coverage they need. Let’s tell Trump: No Junk Plans https://t.co/LrkDhlOK22,1,316
586,"Amy Klobuchar sides with the extreme. This November 6th, don't let the mobs win. Vote for Jobs not Mobs! https://t.co/OUSZHx3iN3",0,586
943,And @realDonaldTrump loves playing the strong  decisive leader – but look at the chaos on his own staff  the way his administration fumbled the Puerto Rico recovery  or how he constantly undermines his own agenda with his own incompetence.,0,943
108,And this from the office of @HawleyMO that is supposed to be enforcing the Sunshine Law. Can’t make this up. Why in the world would these records be closed? https://t.co/GrikXjocPZ,0,108
959,"And this is why fossil fuel money funds the #Republican Supreme Court nominations operation:  just for moments like this. 

Let’s hope this doesn’t end up on the list of over 70 partisan 5-4 big political wins already delivered by the “Roberts Five.” https://t.co/cz7TqvNdVg",0,959
545,And this. Journalist hopes for the death of Trump supporters. This is the kind of language that encourages violence. Embraced by @clairecmc. She should renounce this and apologize immediately for embracing this hateful rhetoric #MoSen https://t.co/2dg8eftd2Q,0,545
109,And this. https://t.co/uDcSfmeoYF,0,109
1026,And you know what scares him the most? Us. The American people. He’s afraid we’ll see him for who he really is and expose the con he’s been running on our country from Day One.,0,1026
326,Angus King says he will vote no when the vote is held to confirm Judge Kavanaugh. He didn’t seem to have an issue when congress passed Obamacare... #mepolitics https://t.co/GcYxzWcPSd,1,326
